"","Band_3","Band_4","Band_5","Band_6","Band_7","frci","Class","cluster"
"689",0.05,0.058,0.57,0.25,0.118,0.665,0.667,1
"690",0.137,0.088,0.759,0.312,0.148,0.676,0.667,1
"691",0.073,0.054,0.69,0.261,0.123,0.655,0.667,1
"692",0.096,0.084,0.645,0.286,0.138,0.606,0.667,1
"693",0.039,0.053,0.625,0.28,0.123,0.672,0.667,1
"694",0.095,0.04,0.788,0.302,0.122,0.657,0.667,1
"695",0.243,0.231,0.518,0.252,0.132,0.696,0.667,1
"696",0.114,0.129,0.58,0.316,0.166,0.672,0.667,1
"697",0.085,0.065,0.691,0.308,0.141,0.643,0.667,1
"698",0.227,0.205,0.493,0.289,0.156,0.63,0.667,1
"699",0.091,0.074,0.633,0.256,0.126,0.609,0.667,1
"700",0.202,0.169,0.524,0.287,0.168,0.612,0.667,1
"701",0.271,0.24,0.504,0.251,0.135,0.661,0.667,1
"702",0.081,0.07,0.618,0.273,0.127,0.687,0.667,1
"703",0.039,0.036,0.64,0.214,0.096,0.615,0.667,1
"704",0.13,0.138,0.628,0.373,0.219,0.674,0.667,1
"705",0.082,0.061,0.665,0.276,0.134,0.646,0.667,1
"706",0.026,0.044,0.403,0.133,0.056,0.676,0.667,1
"707",0.051,0.058,0.593,0.233,0.117,0.687,0.667,1
"708",0.133,0.117,0.653,0.336,0.168,0.677,0.667,1
"709",0.099,0.092,0.647,0.322,0.167,0.643,0.667,1
"710",0.09,0.075,0.729,0.303,0.146,0.682,0.667,1
"711",0.262,0.241,0.49,0.32,0.174,0.658,0.667,1
"712",0.232,0.228,0.509,0.268,0.153,0.65,0.667,1
"713",0.044,0.041,0.669,0.229,0.093,0.67,0.667,1
"714",0.279,0.259,0.421,0.164,0.081,0.685,0.667,1
"715",0.072,0.029,0.726,0.266,0.103,0.684,0.667,1
"716",0.207,0.21,0.583,0.413,0.28,0.659,0.667,1
"717",0.109,0.108,0.493,0.244,0.119,0.671,0.667,1
"718",0.376,0.394,0.387,0.378,0.268,0.643,0.667,1
"719",0.104,0.122,0.448,0.314,0.202,0.607,0.667,1
"720",0.06,0.054,0.721,0.29,0.126,0.686,0.667,1
"721",0.089,0.039,0.72,0.276,0.114,0.631,0.667,1
"722",0.08,0.079,0.615,0.263,0.123,0.686,0.667,1
"723",0.09,0.09,0.593,0.296,0.154,0.611,0.667,1
"724",0.098,0.115,0.453,0.233,0.128,0.646,0.667,1
"725",0.3,0.273,0.381,0.151,0.072,0.613,0.667,1
"726",0.137,0.136,0.523,0.236,0.129,0.644,0.667,1
"727",0.059,0.026,0.784,0.295,0.119,0.647,0.667,1
"728",0.064,0.091,0.425,0.229,0.126,0.671,0.667,1
"729",0.122,0.112,0.615,0.282,0.136,0.63,0.667,1
"730",0.089,0.079,0.725,0.303,0.143,0.601,0.667,1
"731",0.105,0.067,0.746,0.265,0.123,0.697,0.667,1
"732",0.077,0.067,0.637,0.246,0.113,0.622,0.667,1
"733",0.188,0.187,0.455,0.257,0.164,0.645,0.667,1
"734",0.083,0.072,0.655,0.281,0.132,0.632,0.667,1
"735",0.034,0.029,0.64,0.238,0.106,0.69,0.667,1
"736",0.066,0.033,0.719,0.261,0.105,0.694,0.667,1
"737",0.057,0.05,0.662,0.28,0.12,0.684,0.667,1
"738",0.229,0.238,0.436,0.278,0.168,0.608,0.667,1
"739",0.083,0.061,0.649,0.238,0.103,0.66,0.667,1
"740",0.067,0.047,0.706,0.252,0.104,0.698,0.667,1
"741",0.065,0.055,0.739,0.237,0.097,0.67,0.667,1
"742",0.148,0.097,0.754,0.285,0.128,0.673,0.667,1
"743",0.002,0.005,0.662,0.19,0.075,0.623,0.667,1
"744",0.091,0.068,0.62,0.271,0.128,0.693,0.667,1
"745",0.124,0.127,0.496,0.248,0.133,0.601,0.667,1
"746",0.034,0.048,0.542,0.205,0.102,0.675,0.667,1
"747",0.085,0.058,0.726,0.264,0.119,0.685,0.667,1
"748",0.089,0.075,0.755,0.265,0.118,0.672,0.667,1
"749",0.169,0.162,0.527,0.234,0.13,0.692,0.667,1
"750",0.088,0.027,0.785,0.292,0.117,0.674,0.667,1
"751",0.096,0.082,0.648,0.292,0.148,0.68,0.667,1
"752",0.07,0.06,0.668,0.257,0.122,0.704,0.778,1
"753",0.034,0.016,0.783,0.253,0.105,0.768,0.778,1
"754",0.043,0.046,0.602,0.204,0.089,0.797,0.778,1
"755",0.069,0.047,0.721,0.274,0.117,0.73,0.778,1
"756",0.058,0.058,0.662,0.25,0.112,0.763,0.778,1
"757",0.115,0.073,0.705,0.273,0.124,0.782,0.778,1
"758",0.067,0.058,0.657,0.247,0.112,0.742,0.778,1
"759",0.083,0.056,0.69,0.235,0.101,0.776,0.778,1
"760",0.189,0.138,0.64,0.244,0.108,0.791,0.778,1
"761",0.101,0.102,0.565,0.286,0.165,0.755,0.778,1
"762",0.067,0.058,0.7,0.287,0.125,0.752,0.778,1
"763",0.034,0.032,0.705,0.229,0.098,0.72,0.778,1
"764",0.059,0.027,0.742,0.292,0.117,0.769,0.778,1
"765",0.104,0.093,0.568,0.22,0.098,0.721,0.778,1
"766",0.088,0.106,0.483,0.291,0.165,0.752,0.778,1
"767",0.189,0.167,0.511,0.217,0.1,0.771,0.778,1
"768",0.095,0.07,0.684,0.25,0.112,0.703,0.778,1
"769",0.064,0.06,0.679,0.247,0.113,0.785,0.778,1
"770",0.105,0.065,0.741,0.272,0.116,0.771,0.778,1
"771",0.095,0.063,0.703,0.276,0.12,0.771,0.778,1
"772",0.08,0.068,0.67,0.263,0.113,0.748,0.778,1
"773",0.015,0.041,0.588,0.248,0.11,0.738,0.778,1
"774",0.067,0.06,0.611,0.235,0.104,0.788,0.778,1
"775",0.019,0.029,0.682,0.233,0.092,0.782,0.778,1
"776",0.053,0.044,0.664,0.229,0.099,0.78,0.778,1
"777",0.256,0.279,0.431,0.315,0.222,0.751,0.778,1
"778",0.057,0.037,0.701,0.262,0.107,0.739,0.778,1
"779",0.163,0.163,0.441,0.227,0.138,0.753,0.778,1
"780",0.164,0.167,0.486,0.242,0.137,0.753,0.778,1
"781",0.108,0.034,0.771,0.284,0.112,0.776,0.778,1
"782",0.096,0.082,0.669,0.259,0.124,0.766,0.778,1
"783",0.109,0.08,0.648,0.239,0.103,0.715,0.778,1
"784",0.144,0.081,0.743,0.317,0.137,0.735,0.778,1
"785",0.306,0.291,0.416,0.174,0.096,0.745,0.778,1
"786",0.146,0.15,0.619,0.333,0.194,0.749,0.778,1
"787",0.247,0.141,0.82,0.35,0.144,0.735,0.778,1
"788",0.089,0.073,0.648,0.266,0.124,0.753,0.778,1
"789",0.099,0.082,0.683,0.29,0.14,0.715,0.778,1
"790",0.034,0.019,0.71,0.265,0.107,0.751,0.778,1
"791",0.041,0.039,0.669,0.221,0.093,0.742,0.778,1
"792",0.072,0.062,0.693,0.251,0.114,0.747,0.778,1
"793",0.028,0.04,0.517,0.218,0.098,0.726,0.778,1
"794",0.046,0.034,0.678,0.267,0.112,0.767,0.778,1
"795",0.043,0.046,0.627,0.251,0.108,0.721,0.778,1
"796",0.18,0.158,0.577,0.28,0.142,0.705,0.778,1
"797",0.093,0.075,0.639,0.295,0.148,0.726,0.778,1
"798",0.077,0.05,0.702,0.283,0.134,0.757,0.778,1
"799",0.321,0.309,0.527,0.264,0.124,0.748,0.778,1
"800",0.073,0.077,0.617,0.27,0.13,0.788,0.778,1
"801",0.083,0.09,0.572,0.297,0.163,0.76,0.778,1
"802",0.103,0.092,0.642,0.272,0.131,0.729,0.778,1
"803",0.082,0.062,0.76,0.283,0.121,0.729,0.778,1
"804",0.096,0.067,0.524,0.236,0.117,0.79,0.778,1
"805",0.109,0.104,0.629,0.333,0.174,0.765,0.778,1
"806",0.098,0.08,0.683,0.295,0.137,0.704,0.778,1
"807",0.083,0.062,0.687,0.224,0.097,0.767,0.778,1
"808",0.377,0.345,0.449,0.197,0.1,0.749,0.778,1
"809",0.097,0.077,0.668,0.304,0.141,0.796,0.778,1
"810",0.055,0.041,0.66,0.25,0.123,0.763,0.778,1
"811",0.051,0.069,0.544,0.241,0.122,0.762,0.778,1
"812",0.114,0.082,0.718,0.261,0.115,0.707,0.778,1
"813",0.105,0.041,0.799,0.29,0.115,0.715,0.778,1
"814",0.177,0.169,0.454,0.25,0.15,0.719,0.778,1
"815",0.183,0.117,0.743,0.299,0.127,0.765,0.778,1
"816",0.189,0.123,0.738,0.3,0.132,0.772,0.778,1
"817",0.306,0.288,0.564,0.282,0.138,0.773,0.778,1
"818",0.214,0.195,0.488,0.251,0.144,0.74,0.778,1
"819",0.109,0.06,0.762,0.291,0.122,0.764,0.778,1
"820",0.12,0.1,0.565,0.227,0.102,0.731,0.778,1
"821",0.036,0.037,0.689,0.245,0.106,0.728,0.778,1
"822",0.137,0.107,0.617,0.25,0.124,0.789,0.778,1
"823",0.149,0.09,0.773,0.283,0.117,0.753,0.778,1
"824",0.168,0.158,0.617,0.38,0.239,0.758,0.778,1
"825",0.095,0.08,0.715,0.303,0.14,0.768,0.778,1
"826",0.089,0.086,0.672,0.315,0.159,0.793,0.778,1
"827",0.216,0.189,0.548,0.203,0.087,0.712,0.778,1
"828",0.037,0.029,0.751,0.234,0.093,0.752,0.778,1
"829",0.054,0.043,0.67,0.243,0.102,0.729,0.778,1
"830",0.134,0.094,0.734,0.306,0.14,0.768,0.778,1
"831",0.137,0.156,0.538,0.278,0.161,0.73,0.778,1
"832",0.037,0.036,0.646,0.214,0.089,0.714,0.778,1
"833",0.096,0.076,0.723,0.291,0.134,0.745,0.778,1
"834",0.086,0.063,0.685,0.297,0.131,0.763,0.778,1
"835",0.059,0.048,0.653,0.228,0.1,0.745,0.778,1
"836",0.128,0.093,0.632,0.231,0.101,0.777,0.778,1
"837",0.083,0.043,0.79,0.29,0.123,0.728,0.778,1
"838",0.097,0.086,0.683,0.298,0.144,0.796,0.778,1
"839",0.105,0.086,0.678,0.27,0.132,0.703,0.778,1
"840",0.087,0.078,0.672,0.281,0.135,0.749,0.778,1
"841",0.068,0.046,0.68,0.277,0.118,0.755,0.778,1
"842",0.075,0.04,0.701,0.279,0.115,0.798,0.778,1
"843",0.105,0.1,0.617,0.252,0.124,0.774,0.778,1
"844",0.068,0.059,0.686,0.265,0.117,0.792,0.778,1
"845",0.036,0.04,0.58,0.219,0.1,0.755,0.778,1
"846",0.054,0.053,0.637,0.232,0.1,0.755,0.778,1
"847",0.058,0.056,0.647,0.289,0.139,0.765,0.778,1
"848",0.06,0.038,0.709,0.27,0.111,0.741,0.778,1
"849",0.096,0.078,0.686,0.272,0.129,0.786,0.778,1
"850",0.075,0.067,0.645,0.27,0.128,0.772,0.778,1
"851",0.272,0.273,0.49,0.205,0.123,0.715,0.778,1
"852",0.105,0.115,0.519,0.244,0.1,0.748,0.778,1
"853",0.164,0.166,0.505,0.242,0.123,0.793,0.778,1
"854",0.098,0.072,0.709,0.264,0.126,0.742,0.778,1
"855",0.084,0.072,0.632,0.263,0.126,0.771,0.778,1
"856",0.057,0.024,0.682,0.233,0.096,0.778,0.778,1
"857",0.077,0.069,0.629,0.251,0.122,0.774,0.778,1
"858",0.088,0.08,0.628,0.279,0.129,0.713,0.778,1
"859",0.091,0.047,0.775,0.266,0.105,0.701,0.778,1
"860",0.073,0.05,0.684,0.243,0.102,0.772,0.778,1
"861",0.023,0.026,0.665,0.233,0.103,0.897,0.889,1
"862",0.034,0.019,0.728,0.26,0.114,0.853,0.889,1
"863",0.099,0.06,0.658,0.276,0.125,0.81,0.889,1
"864",0.055,0.043,0.714,0.253,0.107,0.861,0.889,1
"865",0.055,0.053,0.655,0.238,0.102,0.854,0.889,1
"866",0.058,0.049,0.675,0.26,0.115,0.807,0.889,1
"867",0.07,0.039,0.752,0.314,0.14,0.846,0.889,1
"868",0.178,0.145,0.55,0.197,0.09,0.806,0.889,1
"869",0.031,0.058,0.577,0.285,0.136,0.884,0.889,1
"870",0.035,0.054,0.623,0.269,0.118,0.874,0.889,1
"871",0.086,0.06,0.673,0.258,0.116,0.831,0.889,1
"872",0.039,0.035,0.701,0.278,0.12,0.845,0.889,1
"873",0.219,0.204,0.524,0.211,0.107,0.864,0.889,1
"874",0.211,0.124,0.72,0.352,0.169,0.881,0.889,1
"875",0.042,0.037,0.604,0.208,0.086,0.835,0.889,1
"876",0.147,0.115,0.685,0.296,0.135,0.801,0.889,1
"877",0.039,0.035,0.698,0.219,0.089,0.864,0.889,1
"878",0.056,0.044,0.725,0.268,0.118,0.899,0.889,1
"879",0.068,0.059,0.655,0.273,0.117,0.858,0.889,1
"880",0.019,0.015,0.739,0.241,0.1,0.889,0.889,1
"881",0.039,0.039,0.625,0.21,0.088,0.801,0.889,1
"882",0.192,0.109,0.722,0.334,0.152,0.872,0.889,1
"883",0.055,0.053,0.609,0.236,0.112,0.855,0.889,1
"884",0.08,0.082,0.58,0.214,0.102,0.866,0.889,1
"885",0.08,0.061,0.68,0.272,0.123,0.82,0.889,1
"886",0.037,0.021,0.766,0.268,0.105,0.832,0.889,1
"887",0.036,0.047,0.674,0.254,0.108,0.863,0.889,1
"888",0.076,0.031,0.729,0.289,0.118,0.835,0.889,1
"889",0.083,0.065,0.654,0.24,0.11,0.865,0.889,1
"890",0.118,0.089,0.68,0.288,0.129,0.815,0.889,1
"891",0.049,0.036,0.747,0.268,0.108,0.874,0.889,1
"892",0.112,0.07,0.743,0.259,0.106,0.812,0.889,1
"893",0.187,0.108,0.722,0.336,0.154,0.877,0.889,1
"894",0.067,0.049,0.645,0.233,0.099,0.856,0.889,1
"895",0.064,0.055,0.716,0.264,0.113,0.868,0.889,1
"896",0.055,0.058,0.56,0.273,0.139,0.801,0.889,1
"897",0.083,0.064,0.74,0.255,0.109,0.868,0.889,1
"898",0.121,0.094,0.687,0.296,0.138,0.833,0.889,1
"899",0.049,0.046,0.657,0.233,0.102,0.854,0.889,1
"900",0.052,0.038,0.737,0.292,0.123,0.892,0.889,1
"901",0.065,0.053,0.629,0.218,0.098,0.861,0.889,1
"902",0.24,0.206,0.531,0.199,0.088,0.842,0.889,1
"903",0.097,0.073,0.725,0.32,0.157,0.889,0.889,1
"904",0.037,0.026,0.734,0.231,0.094,0.874,0.889,1
"905",0.097,0.07,0.68,0.29,0.137,0.842,0.889,1
"906",0.086,0.073,0.672,0.275,0.128,0.876,0.889,1
"907",0.163,0.13,0.616,0.264,0.141,0.843,0.889,1
"908",0.035,0.059,0.579,0.284,0.131,0.896,0.889,1
"909",0.039,0.038,0.61,0.217,0.103,0.833,0.889,1
"910",0.096,0.064,0.582,0.221,0.098,0.865,0.889,1
"911",0.062,0.024,0.682,0.256,0.104,0.894,0.889,1
"912",0.113,0.067,0.759,0.265,0.111,0.846,0.889,1
"913",0.135,0.091,0.662,0.234,0.102,0.886,0.889,1
"914",0.051,0.06,0.692,0.297,0.13,0.858,0.889,1
"915",0.083,0.062,0.712,0.252,0.111,0.861,0.889,1
"916",0.031,0.05,0.595,0.264,0.118,0.88,0.889,1
"917",0.103,0.063,0.686,0.284,0.131,0.888,0.889,1
"918",0.093,0.054,0.709,0.244,0.099,0.897,0.889,1
"919",0.099,0.068,0.728,0.276,0.123,0.861,0.889,1
"920",0.27,0.23,0.473,0.195,0.095,0.804,0.889,1
"921",0.04,0.032,0.66,0.231,0.099,0.89,0.889,1
"922",0.056,0.047,0.688,0.222,0.092,0.881,0.889,1
"923",0.051,0.064,0.657,0.263,0.119,0.898,0.889,1
"924",0.164,0.136,0.598,0.226,0.115,0.854,0.889,1
"925",0.084,0.076,0.601,0.239,0.117,0.871,0.889,1
"926",0.09,0.055,0.764,0.269,0.117,0.83,0.889,1
"927",0.123,0.092,0.689,0.282,0.129,0.891,0.889,1
"928",0.194,0.112,0.804,0.312,0.138,0.845,0.889,1
"929",0.066,0.057,0.663,0.217,0.097,0.829,0.889,1
"930",0.049,0.043,0.736,0.269,0.111,0.857,0.889,1
"931",0.063,0.062,0.591,0.197,0.091,0.875,0.889,1
"932",0.145,0.12,0.605,0.216,0.098,0.847,0.889,1
"933",0.129,0.095,0.672,0.239,0.103,0.812,0.889,1
"934",0.078,0.047,0.717,0.255,0.104,0.872,0.889,1
"935",0.052,0.048,0.627,0.229,0.104,0.803,0.889,1
"936",0.092,0.094,0.516,0.212,0.088,0.83,0.889,1
"937",0.119,0.085,0.677,0.262,0.109,0.82,0.889,1
"938",0.21,0.126,0.677,0.336,0.15,0.895,0.889,1
"939",0.042,0.05,0.639,0.271,0.124,0.886,0.889,1
"940",0.079,0.067,0.663,0.265,0.117,0.812,0.889,1
"941",0.098,0.081,0.675,0.258,0.12,0.862,0.889,1
"942",0.037,0.028,0.705,0.258,0.104,0.846,0.889,1
"943",0.047,0.043,0.655,0.22,0.094,0.857,0.889,1
"944",0.189,0.174,0.538,0.204,0.089,0.893,0.889,1
"945",0.221,0.231,0.464,0.236,0.113,0.852,0.889,1
"946",0.046,0.033,0.619,0.19,0.077,0.853,0.889,1
"947",0.059,0.049,0.731,0.284,0.125,0.823,0.889,1
"948",0.084,0.063,0.768,0.286,0.118,0.82,0.889,1
"949",0.074,0.055,0.722,0.257,0.108,0.878,0.889,1
"950",0.109,0.093,0.685,0.342,0.175,0.805,0.889,1
"951",0.097,0.063,0.612,0.228,0.098,0.82,0.889,1
"952",0.072,0.07,0.614,0.219,0.1,0.898,0.889,1
"953",0.128,0.082,0.79,0.291,0.132,0.883,0.889,1
"954",0.077,0.039,0.834,0.288,0.127,0.873,0.889,1
"955",0.066,0.042,0.679,0.216,0.085,0.899,0.889,1
"956",0.059,0.039,0.771,0.292,0.121,0.875,0.889,1
"957",0.133,0.089,0.72,0.278,0.124,0.888,0.889,1
"958",0.043,0.056,0.63,0.274,0.121,0.819,0.889,1
"959",0.113,0.066,0.689,0.262,0.112,0.832,0.889,1
"960",0.108,0.056,0.671,0.248,0.102,0.85,0.889,1
"961",0.017,0.021,0.648,0.203,0.081,0.872,0.889,1
"962",0.053,0.059,0.668,0.254,0.115,0.84,0.889,1
"963",0.041,0.025,0.744,0.257,0.103,0.817,0.889,1
"964",0.064,0.045,0.67,0.227,0.094,0.837,0.889,1
"965",0.012,0.024,0.615,0.226,0.094,0.88,0.889,1
"966",0.041,0.035,0.677,0.256,0.107,0.848,0.889,1
"967",0.021,0.022,0.641,0.219,0.087,0.845,0.889,1
"968",0.059,0.047,0.664,0.24,0.1,0.897,0.889,1
"969",0.089,0.076,0.712,0.273,0.127,0.868,0.889,1
"970",0.083,0.071,0.671,0.26,0.121,0.864,0.889,1
"971",0.092,0.047,0.783,0.29,0.121,0.973,1,1
"972",0.122,0.077,0.769,0.276,0.116,0.997,1,1
"973",0.073,0.052,0.723,0.308,0.135,0.98,1,1
"974",0.034,0.05,0.607,0.276,0.124,0.983,1,1
"975",0.047,0.054,0.66,0.259,0.118,0.976,1,1
"976",0.071,0.059,0.733,0.287,0.121,0.986,1,1
"977",0.218,0.129,0.748,0.363,0.174,0.981,1,1
"978",0.05,0.05,0.647,0.267,0.117,0.957,1,1
"979",0.034,0.028,0.74,0.229,0.087,0.984,1,1
"980",0.032,0.055,0.626,0.273,0.121,0.956,1,1
"981",0.187,0.114,0.724,0.36,0.163,0.987,1,1
"982",0.026,0.031,0.667,0.268,0.111,0.909,1,1
"983",0.045,0.035,0.683,0.269,0.116,0.978,1,1
"984",0.039,0.063,0.599,0.269,0.121,0.982,1,1
"985",0.166,0.104,0.696,0.333,0.152,0.964,1,1
"986",0.005,0,0.79,0.198,0.067,0.946,1,1
"987",0,0.039,0.538,0.249,0.111,0.969,1,1
"988",0.004,0.008,0.729,0.216,0.084,0.975,1,1
"989",0.046,0.058,0.638,0.276,0.121,0.99,1,1
"990",0.199,0.118,0.737,0.337,0.154,0.972,1,1
"991",0.044,0.036,0.698,0.272,0.119,0.993,1,1
"992",0.051,0.059,0.645,0.28,0.124,0.959,1,1
"993",0.029,0.039,0.646,0.255,0.111,0.955,1,1
"994",0.074,0.06,0.685,0.285,0.126,0.968,1,1
"995",0.037,0.037,0.697,0.269,0.116,0.994,1,1
"996",0.041,0.026,0.714,0.264,0.109,0.906,1,1
"997",0.054,0.066,0.645,0.288,0.13,0.976,1,1
"998",0.065,0.031,0.784,0.28,0.114,0.981,1,1
"999",0.078,0.037,0.769,0.247,0.099,0.958,1,1
"1000",0.036,0.041,0.634,0.24,0.11,0.968,1,1
"1001",0.012,0.013,0.782,0.211,0.075,0.994,1,1
"1002",0.041,0.061,0.589,0.282,0.129,0.953,1,1
"1003",0.043,0.063,0.613,0.285,0.131,0.978,1,1
"1004",0.058,0.049,0.689,0.271,0.123,0.959,1,1
"1005",0.066,0.051,0.735,0.259,0.113,0.916,1,1
"1006",0.078,0.055,0.667,0.218,0.092,0.973,1,1
"1007",0.025,0.03,0.654,0.238,0.097,0.983,1,1
"1008",0.056,0.046,0.67,0.231,0.097,0.972,1,1
"1009",0.084,0.064,0.698,0.306,0.132,0.991,1,1
"1010",0.148,0.089,0.754,0.326,0.145,0.983,1,1
"1011",0.023,0.05,0.565,0.271,0.124,0.929,1,1
"1012",0.128,0.135,0.592,0.321,0.178,0.971,1,1
"1013",0.052,0.044,0.692,0.239,0.098,0.919,1,1
"1014",0.192,0.1,0.762,0.334,0.144,0.959,1,1
"1015",0.03,0.052,0.6,0.267,0.118,0.972,1,1
"1016",0.057,0.06,0.639,0.293,0.128,0.961,1,1
"1017",0.087,0.056,0.74,0.262,0.107,0.988,1,1
"1018",0.074,0.037,0.817,0.28,0.115,0.995,1,1
"1019",0.046,0.059,0.648,0.281,0.123,0.976,1,1
"1020",0.028,0.055,0.598,0.266,0.118,0.936,1,1
"1021",0.059,0.048,0.657,0.217,0.089,0.92,1,1
"1022",0.04,0.038,0.711,0.264,0.11,0.978,1,1
"1023",0.049,0.062,0.667,0.284,0.123,0.978,1,1
"1024",0.026,0.058,0.554,0.271,0.129,0.953,1,1
"1025",0.029,0.056,0.567,0.274,0.126,0.95,1,1
"1026",0.187,0.108,0.753,0.354,0.161,0.983,1,1
"1027",0.096,0.054,0.778,0.285,0.12,0.972,1,1
"1028",0.073,0.055,0.723,0.235,0.101,0.933,1,1
"1029",0.072,0.057,0.689,0.29,0.132,0.982,1,1
"1030",0.019,0.004,0.792,0.237,0.089,0.991,1,1
"1031",0.07,0.035,0.814,0.255,0.103,0.902,1,1
"1032",0.033,0.054,0.615,0.262,0.116,0.963,1,1
"1033",0.056,0.051,0.613,0.226,0.102,0.971,1,1
"1034",0.053,0.041,0.693,0.27,0.121,0.979,1,1
"1035",0.076,0.031,0.885,0.305,0.119,1,1,1
"1036",0.043,0.053,0.653,0.283,0.124,0.981,1,1
"1037",0.036,0.038,0.647,0.275,0.124,0.986,1,1
"1038",0.042,0.035,0.699,0.258,0.111,0.992,1,1
"1039",0.059,0.058,0.675,0.263,0.117,0.971,1,1
"1040",0.077,0.04,0.821,0.288,0.121,0.992,1,1
"1041",0.055,0.068,0.616,0.292,0.131,0.978,1,1
"1042",0.073,0.05,0.7,0.231,0.09,0.99,1,1
"1043",0.046,0.06,0.616,0.286,0.128,0.966,1,1
"1044",0.115,0.095,0.625,0.278,0.142,0.954,1,1
"1045",0.029,0.012,0.876,0.244,0.089,0.998,1,1
"1046",0.046,0.056,0.645,0.265,0.117,0.976,1,1
"1047",0.035,0.025,0.712,0.258,0.109,0.931,1,1
"1048",0.023,0.001,0.895,0.239,0.085,0.997,1,1
"1049",0.045,0.046,0.663,0.245,0.1,0.979,1,1
"1050",0.033,0.048,0.618,0.261,0.114,0.988,1,1
"1051",0.021,0.059,0.561,0.271,0.126,0.973,1,1
"1052",0.052,0.036,0.782,0.29,0.121,0.994,1,1
"1053",0.022,0.025,0.678,0.225,0.091,0.903,1,1
"1054",0.063,0.039,0.736,0.289,0.127,0.977,1,1
"1055",0.027,0.06,0.566,0.278,0.129,0.911,1,1
"1056",0.065,0.061,0.721,0.283,0.12,0.993,1,1
"1057",0.059,0.046,0.725,0.25,0.102,0.991,1,1
"1058",0.053,0.066,0.637,0.289,0.127,0.974,1,1
"1059",0.063,0.076,0.639,0.297,0.136,0.982,1,1
"1060",0.034,0.056,0.636,0.274,0.12,0.979,1,1
"1061",0.048,0.062,0.653,0.268,0.118,0.989,1,1
"1062",0.183,0.118,0.72,0.32,0.149,0.949,1,1
"1063",0.035,0.018,0.797,0.233,0.093,0.97,1,1
"1064",0.065,0.04,0.715,0.245,0.107,0.963,1,1
"1065",0.032,0.034,0.707,0.261,0.108,0.978,1,1
"1066",0.055,0.047,0.723,0.277,0.116,0.974,1,1
"1067",0.013,0.009,0.734,0.234,0.094,0.956,1,1
"1068",0.049,0.04,0.665,0.257,0.108,0.966,1,1
"1069",0.077,0.061,0.684,0.231,0.101,0.93,1,1
"1070",0.123,0.077,0.671,0.22,0.088,0.965,1,1
"1071",0.024,0.049,0.585,0.267,0.119,0.972,1,1
"1072",0.204,0.12,0.757,0.357,0.162,0.979,1,1
"1073",0.052,0.062,0.643,0.278,0.121,0.975,1,1
"1074",0.024,0.053,0.581,0.264,0.117,0.966,1,1
"1075",0.04,0.063,0.624,0.28,0.126,0.972,1,1
"1076",0.114,0.071,0.699,0.256,0.109,0.937,1,1
"1077",0.043,0.026,0.788,0.27,0.109,0.977,1,1
"1078",0.081,0.041,0.835,0.3,0.12,0.988,1,1
"1079",0.046,0.06,0.659,0.282,0.123,0.989,1,1
"1080",0.208,0.117,0.751,0.35,0.159,0.943,1,1
