"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.279,0.361,0.342,0.025,0.004,0.004,1
"2",0,0.265,0.363,0.35,0.006,0.001,0.003,1
"3",0,0.289,0.381,0.37,0.016,0.003,0.004,1
"4",0,0.367,0.463,0.418,0.347,0.372,0.227,1
"5",0,0.27,0.361,0.35,0.007,0.003,0.003,1
"6",0,0.514,0.585,0.653,0.367,0.339,0.188,1
"7",0,0.346,0.349,0.433,0.23,0.53,0.474,2
"8",0,0.268,0.366,0.348,0.047,0.003,0.002,1
"9",0,0.422,0.389,0.509,0.237,0.55,0.532,2
"10",0,0.317,0.409,0.406,0.058,0.007,0.005,1
"11",0.078,0.385,0.424,0.453,0.331,0.384,0.25,1
"12",0,0.372,0.325,0.424,0.323,0.655,0.56,2
"13",0,0.293,0.379,0.368,0.015,0.007,0.008,1
"14",0,0.29,0.382,0.373,0.011,0.006,0.006,1
"15",0,0.359,0.448,0.476,0.148,0.015,0.011,1
"16",0.001,0.426,0.381,0.48,0.293,0.735,0.663,2
"17",0,0.303,0.384,0.37,0.04,0.009,0.006,1
"18",0.016,0.345,0.381,0.442,0.372,0.393,0.317,1
"19",0,0.279,0.372,0.36,0.006,0.003,0.002,1
"20",0,0.421,0.459,0.451,0.321,0.378,0.245,1
"21",0,0.271,0.366,0.352,0.007,0,0.002,1
"22",0,0.259,0.366,0.353,0.051,0.006,0.005,1
"23",0,0.272,0.369,0.353,0.007,0.002,0.003,1
"24",0,0.285,0.382,0.367,0.04,0.004,0.003,1
"25",0,0.309,0.39,0.396,0.025,0.004,0.001,1
"26",0,0.296,0.387,0.38,0.018,0.001,0.002,1
"27",0,0.273,0.369,0.359,0.011,0.003,0.003,1
"28",0,0.378,0.33,0.47,0.257,0.643,0.596,2
"29",0,0.37,0.325,0.44,0.246,0.656,0.605,2
"30",0,0.329,0.421,0.443,0.08,0.007,0.006,1
"31",0.026,0.074,0.098,0.074,0.819,0.365,0.172,1
"32",0,0.435,0.437,0.586,0.304,0.588,0.532,2
"33",0,0.277,0.372,0.366,0.002,0.002,0,1
"34",0,0.283,0.375,0.366,0.026,0.003,0.002,1
"35",0,0.412,0.478,0.486,0.338,0.452,0.295,1
"36",0,0.378,0.347,0.471,0.247,0.561,0.524,2
"37",0,0.508,0.57,0.644,0.368,0.3,0.144,1
"38",0.005,0.395,0.453,0.452,0.34,0.381,0.232,1
"39",0,0.255,0.358,0.333,0.034,0.003,0.003,1
"40",0,0.407,0.404,0.507,0.241,0.619,0.593,2
"41",0,0.271,0.366,0.346,0.003,0.004,0.004,1
"42",0.039,0.134,0.266,0.136,0.834,0.494,0.268,1
"43",0,0.275,0.356,0.341,0.023,0.007,0.005,1
"44",0,0.293,0.376,0.368,0.015,0.006,0.005,1
"45",0,0.32,0.399,0.389,0.051,0.009,0.009,1
"46",0,0.429,0.392,0.505,0.271,0.678,0.639,2
"47",0,0.277,0.358,0.339,0.03,0.009,0.008,1
"48",0,0.293,0.378,0.378,0.025,0.003,0.002,1
"49",0.004,0.356,0.351,0.455,0.227,0.533,0.483,2
"50",0,0.29,0.383,0.372,0.044,0.005,0.005,1
"51",0,0.28,0.363,0.34,0.043,0.008,0.009,1
"52",0,0.301,0.392,0.381,0.012,0.007,0.009,1
"53",0.02,0.123,0.225,0.123,0.858,0.431,0.226,1
"54",0,0.243,0.328,0.301,0,0.002,0.002,1
"55",0,0.34,0.425,0.419,0.077,0.013,0.011,1
"56",0,0.158,0.352,0.183,0.861,0.537,0.3,1
"57",0,0.309,0.396,0.386,0.041,0.003,0.004,1
"58",0,0.363,0.459,0.429,0.351,0.37,0.219,1
"59",0,0.486,0.558,0.637,0.372,0.285,0.132,1
"60",0,0.485,0.555,0.634,0.373,0.292,0.139,1
"61",0,0.427,0.464,0.476,0.313,0.412,0.273,1
"62",0.073,0.228,0.278,0.24,0.651,0.339,0.166,1
"63",0,0.386,0.325,0.433,0.267,0.673,0.613,2
"64",0,0.321,0.414,0.423,0.109,0.009,0.007,1
"65",0.067,0.256,0.278,0.284,0.572,0.495,0.37,1
"66",0,0.42,0.395,0.458,0.278,0.248,0.16,1
"67",0,0.318,0.403,0.406,0.044,0.004,0.003,1
"68",0,0.293,0.383,0.377,0.029,0.003,0.002,1
"69",0,0.408,0.414,0.519,0.221,0.54,0.528,2
"70",0.055,0.17,0.179,0.172,0.511,0.455,0.312,1
"71",0,0.383,0.479,0.455,0.35,0.379,0.23,1
"72",0,0.284,0.371,0.358,0.015,0.002,0.005,1
"73",0,0.271,0.368,0.342,0.027,0.003,0.003,1
"74",0,0.507,0.517,0.575,0.291,0.323,0.216,1
"75",0,0.491,0.518,0.566,0.296,0.343,0.223,1
"76",0,0.527,0.585,0.669,0.355,0.372,0.21,1
"77",0,0.27,0.368,0.357,0.008,0.002,0.001,1
"78",0,0.506,0.488,0.553,0.263,0.316,0.226,1
"79",0,0.398,0.475,0.516,0.219,0.057,0.037,1
"80",0,0.3,0.393,0.39,0.032,0.002,0.001,1
"81",0,0.327,0.412,0.404,0.173,0.089,0.043,1
"82",0,0.275,0.352,0.33,0.04,0.008,0.007,1
"83",0,0.358,0.328,0.423,0.301,0.624,0.539,2
"84",0,0.417,0.464,0.484,0.265,0.355,0.239,1
"85",0,0.511,0.562,0.639,0.366,0.306,0.151,1
"86",0,0.393,0.45,0.427,0.326,0.386,0.248,1
"87",0,0.344,0.318,0.422,0.218,0.629,0.59,2
"88",0,0.29,0.377,0.365,0.017,0.009,0.009,1
"89",0.008,0.112,0.203,0.108,1,0.422,0.196,1
"90",0,0.292,0.385,0.379,0.015,0.006,0.006,1
"91",0,0.21,0.358,0.252,0.821,0.562,0.373,1
"92",0.034,0.314,0.396,0.394,0.136,0.032,0.017,1
"93",0.06,0.229,0.198,0.233,0.569,0.386,0.252,1
"94",0,0.295,0.373,0.353,0.041,0.007,0.006,1
"95",0,0.389,0.454,0.435,0.336,0.387,0.246,1
"96",0.007,0.308,0.391,0.374,0.168,0.043,0.025,1
"97",0,0.244,0.337,0.308,0.033,0.006,0.003,1
"98",0,0.412,0.478,0.481,0.327,0.378,0.241,1
"99",0,0.416,0.411,0.514,0.234,0.59,0.575,2
"100",0,0.291,0.37,0.348,0.05,0.008,0.007,1
"101",0.027,0.353,0.357,0.373,0.336,0.318,0.188,1
"102",0.089,0.46,0.506,0.595,0.411,0.278,0.125,1
"103",0,0.395,0.442,0.43,0.323,0.378,0.246,1
"104",0,0.252,0.348,0.325,0.021,0.005,0.005,1
"105",0.126,0.316,0.284,0.365,0.471,0.615,0.506,1
"106",0.111,0.378,0.427,0.441,0.357,0.39,0.246,1
"107",0.142,0.112,0.128,0.111,0.666,0.358,0.179,1
"108",0.126,0.278,0.37,0.356,0.213,0.076,0.042,1
"109",0.173,0.296,0.284,0.335,0.539,0.538,0.435,1
"110",0.197,0.236,0.244,0.258,0.323,0.276,0.168,1
"111",0.129,0.319,0.405,0.396,0.265,0.164,0.089,1
"112",0.137,0.223,0.192,0.235,0.357,0.542,0.435,1
"113",0.138,0.233,0.211,0.24,0.396,0.505,0.392,1
"114",0.175,0.135,0.135,0.133,0.606,0.326,0.18,1
"115",0.144,0.383,0.328,0.406,0.494,0.563,0.44,1
"116",0.172,0.17,0.166,0.187,0.633,0.351,0.217,1
"117",0.116,0.468,0.466,0.559,0.317,0.335,0.234,1
"118",0.169,0.066,0.068,0.059,0.703,0.299,0.147,1
"119",0.113,0.264,0.337,0.262,0.825,0.521,0.373,1
"120",0.163,0.402,0.465,0.52,0.413,0.286,0.133,1
"121",0.116,0.388,0.413,0.455,0.354,0.347,0.225,1
"122",0.161,0.277,0.307,0.305,0.397,0.321,0.201,1
"123",0.115,0.452,0.517,0.589,0.393,0.28,0.129,1
"124",0.111,0.266,0.219,0.263,0.504,0.476,0.334,1
"125",0.196,0.249,0.2,0.241,0.372,0.47,0.381,1
"126",0.138,0.152,0.172,0.17,0.622,0.336,0.195,1
"127",0.14,0.362,0.382,0.402,0.354,0.353,0.226,1
"128",0.105,0.32,0.403,0.402,0.128,0.03,0.022,1
"129",0.169,0.321,0.396,0.388,0.26,0.128,0.066,1
"130",0.173,0.135,0.14,0.139,0.618,0.374,0.213,1
"131",0.135,0.171,0.154,0.166,0.437,0.374,0.275,1
"132",0.11,0.285,0.362,0.364,0.138,0.055,0.035,1
"133",0.15,0.294,0.344,0.333,0.593,0.354,0.182,1
"134",0.133,0.275,0.362,0.351,0.268,0.099,0.045,1
"135",0.174,0.403,0.431,0.428,0.333,0.381,0.251,1
"136",0.12,0.11,0.088,0.088,0.525,0.261,0.135,1
"137",0.108,0.143,0.131,0.145,0.549,0.339,0.19,1
"138",0.131,0.294,0.286,0.352,0.431,0.463,0.382,1
"139",0.194,0.214,0.163,0.2,0.404,0.431,0.318,1
"140",0.107,0.359,0.383,0.448,0.385,0.265,0.143,1
"141",0.174,0.272,0.278,0.28,0.359,0.31,0.181,1
"142",0.199,0.279,0.4,0.402,0.366,0.219,0.109,1
"143",0.16,0.022,0.036,0.029,0.71,0.264,0.106,1
"144",0.122,0.342,0.375,0.431,0.432,0.467,0.433,1
"145",0.136,0.295,0.364,0.348,0.182,0.067,0.036,1
"146",0.144,0.302,0.293,0.341,0.544,0.488,0.358,1
"147",0.128,0.179,0.146,0.171,0.396,0.406,0.314,1
"148",0.126,0.385,0.454,0.479,0.506,0.38,0.201,1
"149",0.179,0.318,0.411,0.431,0.305,0.122,0.056,1
"150",0.169,0.29,0.369,0.365,0.181,0.056,0.031,1
"151",0.103,0.332,0.404,0.409,0.359,0.398,0.255,1
"152",0.119,0.213,0.181,0.208,0.418,0.475,0.371,1
"153",0.152,0.369,0.344,0.414,0.444,0.438,0.361,1
"154",0.107,0.341,0.39,0.378,0.34,0.328,0.215,1
"155",0.164,0.353,0.448,0.451,0.379,0.269,0.128,1
"156",0.176,0.267,0.356,0.354,0.265,0.096,0.05,1
"157",0.155,0.435,0.458,0.514,0.415,0.307,0.162,1
"158",0.103,0.36,0.384,0.444,0.374,0.302,0.21,1
"159",0.112,0.123,0.116,0.131,0.544,0.329,0.173,1
"160",0.117,0.431,0.472,0.519,0.373,0.316,0.169,1
"161",0.191,0.255,0.209,0.251,0.374,0.531,0.44,1
"162",0.193,0.025,0.037,0.033,0.663,0.265,0.108,1
"163",0.177,0.122,0.134,0.122,0.61,0.313,0.156,1
"164",0.109,0.136,0.183,0.118,0.904,0.421,0.206,1
"165",0.166,0.39,0.459,0.52,0.405,0.264,0.116,1
"166",0.195,0.246,0.245,0.259,0.524,0.471,0.345,1
"167",0.142,0.056,0.06,0.049,0.672,0.256,0.118,1
"168",0.114,0.327,0.405,0.397,0.137,0.047,0.036,1
"169",0.163,0.168,0.157,0.153,0.625,0.333,0.165,1
"170",0.193,0.259,0.348,0.346,0.156,0.047,0.028,1
"171",0.141,0.284,0.276,0.314,0.519,0.599,0.474,1
"172",0.158,0.309,0.312,0.361,0.47,0.53,0.43,1
"173",0.128,0.331,0.373,0.411,0.511,0.468,0.368,1
"174",0.183,0.218,0.218,0.225,0.393,0.264,0.154,1
