"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.639,0.686,0.798,0.385,0.489,0.36,1
"2",0,0.336,0.299,0.242,0.164,0.208,0.229,2
"3",0,0.458,0.438,0.293,0.118,0.197,0.234,2
"4",0,0.059,0.036,0.059,0.099,0.105,0.08,2
"5",0,0.685,0.756,0.899,0.411,0.466,0.305,1
"6",0,0.26,0.169,0.169,0.169,0.209,0.224,2
"7",0,0.248,0.146,0.144,0.169,0.204,0.215,2
"8",0,0.658,0.736,0.875,0.392,0.34,0.246,1
"9",0,0.266,0.172,0.178,0.171,0.213,0.223,2
"10",0,0.749,0.803,0.935,0.423,0.711,0.602,1
"11",0,0.472,0.497,0.346,0.126,0.19,0.228,2
"12",0,0.125,0.087,0.103,0.07,0.088,0.068,2
"13",0,0.287,0.218,0.23,0.148,0.18,0.204,2
"14",0,0.701,0.769,0.921,0.408,0.518,0.359,1
"15",0,0.431,0.448,0.303,0.115,0.179,0.198,2
"16",0,0.557,0.524,0.479,0.19,0.282,0.317,2
"17",0,0.535,0.551,0.418,0.143,0.198,0.214,2
"18",0,0.285,0.212,0.19,0.167,0.198,0.209,2
"19",0,0.288,0.209,0.192,0.163,0.195,0.207,2
"20",0,0.062,0.011,0.049,0,0.027,0.025,2
"21",0,0.384,0.313,0.263,0.196,0.236,0.258,2
"22",0,0.426,0.445,0.301,0.118,0.179,0.203,2
"23",0.097,0.433,0.402,0.345,0.36,0.401,0.379,2
"24",0,0.742,0.768,0.763,0.308,0.543,0.592,1
"25",0,0.079,0.078,0.096,0.148,0.156,0.113,2
"26",0,0.334,0.291,0.237,0.145,0.179,0.202,2
"27",0.012,0.321,0.269,0.253,0.162,0.222,0.223,2
"28",0,0.123,0.088,0.104,0.067,0.086,0.066,2
"29",0,0.43,0.41,0.276,0.114,0.186,0.223,2
"30",0.04,0.126,0.086,0.1,0.125,0.144,0.128,2
"31",0,0.247,0.163,0.157,0.169,0.208,0.224,2
"32",0,0.068,0,0.044,0.019,0,0,2
"33",0,0.441,0.431,0.304,0.122,0.183,0.209,2
"34",0,0.063,0.037,0.06,0.084,0.097,0.075,2
"35",0,0.079,0.048,0.069,0.097,0.105,0.081,2
"36",0,0.673,0.73,0.892,0.373,0.456,0.318,1
"37",0,0.271,0.194,0.178,0.163,0.193,0.201,2
"38",0,0.379,0.325,0.268,0.188,0.234,0.259,2
"39",0,0.035,0.002,0.033,0.111,0.111,0.085,2
"40",0,0.344,0.31,0.255,0.165,0.196,0.217,2
"41",0,0.467,0.424,0.391,0.163,0.217,0.254,2
"42",0,0.434,0.433,0.292,0.115,0.187,0.223,2
"43",0,0.647,0.716,0.862,0.396,0.397,0.244,1
"44",0,0.052,0.036,0.056,0.154,0.13,0.121,2
"45",0,0.689,0.739,0.886,0.387,0.519,0.407,1
"46",0.011,0.247,0.16,0.148,0.232,0.272,0.27,2
"47",0,0.733,0.787,0.923,0.424,0.695,0.585,1
"48",0,0.718,0.778,0.914,0.383,0.575,0.496,1
"49",0.176,0.313,0.306,0.258,0.315,0.318,0.284,2
"50",0.149,0.21,0.183,0.179,0.262,0.267,0.199,2
"51",0.185,0.565,0.578,0.481,0.644,0.703,0.611,2
"52",0.138,0.085,0.076,0.073,0.241,0.233,0.163,2
"53",0.124,0.45,0.41,0.369,0.309,0.357,0.358,2
"54",0.115,0.276,0.221,0.215,0.18,0.214,0.213,2
"55",0.175,0.569,0.598,0.665,0.393,0.656,0.583,2
"56",0.19,0.398,0.405,0.338,0.237,0.2,0.221,2
"57",0.2,0.096,0.163,0.121,0.419,0.361,0.243,2
"58",0.124,0.655,0.707,0.799,0.401,0.583,0.473,1
"59",0.158,0.157,0.178,0.182,0.279,0.3,0.237,2
"60",0.156,0.105,0.153,0.111,0.337,0.254,0.179,2
"61",0.139,0.14,0.141,0.178,0.23,0.182,0.158,2
"62",0.157,0.681,0.677,0.658,0.456,0.743,0.647,2
"63",0.126,0.086,0.105,0.094,0.231,0.24,0.176,2
"64",0.162,0.083,0.077,0.059,0.306,0.259,0.194,2
"65",0.188,0.359,0.314,0.266,0.293,0.298,0.296,2
"66",0.119,0.438,0.396,0.341,0.346,0.459,0.436,2
"67",0.143,0.149,0.142,0.149,0.186,0.228,0.173,2
"68",0.104,0.308,0.247,0.233,0.244,0.227,0.223,2
"69",0.162,0.016,0.003,0.019,0.242,0.197,0.158,2
"70",0.197,0.342,0.374,0.327,0.338,0.338,0.314,2
"71",0.176,0.237,0.161,0.138,0.217,0.243,0.246,2
"72",0.122,0.326,0.302,0.28,0.361,0.308,0.279,2
"73",0.16,0.246,0.195,0.147,0.376,0.327,0.29,2
"74",0.112,0.446,0.388,0.337,0.181,0.185,0.228,2
"75",0.135,0.351,0.296,0.3,0.284,0.268,0.268,2
"76",0.171,0.339,0.34,0.275,0.356,0.327,0.287,2
"77",0.124,0.189,0.172,0.156,0.361,0.326,0.28,2
"78",0.151,0.291,0.242,0.229,0.302,0.23,0.22,2
"79",0.132,0.426,0.4,0.309,0.407,0.372,0.362,2
"80",0.161,0.321,0.306,0.231,0.323,0.334,0.311,2
"81",0.118,0.25,0.165,0.152,0.236,0.248,0.246,2
"82",0.111,0.296,0.296,0.259,0.238,0.222,0.226,2
"83",0.139,0.295,0.256,0.231,0.356,0.356,0.326,2
"84",0.169,0.373,0.386,0.303,0.317,0.33,0.282,2
"85",0.151,0.54,0.604,0.51,0.627,0.756,0.664,2
"86",0.113,0.356,0.346,0.28,0.214,0.215,0.223,2
"87",0.17,0.313,0.249,0.243,0.174,0.208,0.233,2
"88",0.112,0.095,0.139,0.125,0.343,0.34,0.236,2
"89",0.178,0.403,0.398,0.345,0.425,0.443,0.401,2
"90",0.135,0.154,0.152,0.158,0.251,0.243,0.21,2
"91",0.159,0.646,0.698,0.624,0.547,0.672,0.593,2
"92",0.172,0.379,0.395,0.311,0.303,0.319,0.292,2
"93",0.163,0.106,0.12,0.116,0.227,0.234,0.181,2
"94",0.194,0.415,0.518,0.299,0.954,0.963,0.758,2
"95",0.155,0.474,0.511,0.334,0.862,0.961,0.77,2
"96",0.198,0.604,0.609,0.571,0.481,0.664,0.563,2
"97",0.193,0.147,0.172,0.173,0.17,0.225,0.191,2
"98",0.169,0.23,0.172,0.145,0.243,0.253,0.251,2
"99",0.151,0.464,0.57,0.332,0.916,0.951,0.775,2
"100",0.137,0.477,0.451,0.378,0.422,0.4,0.379,2
"101",0.163,0.5,0.532,0.431,0.643,0.676,0.533,2
"102",0.145,0.108,0.135,0.125,0.271,0.246,0.181,2
"103",0.215,0.451,0.462,0.361,0.537,0.523,0.471,2
"104",0.292,0.473,0.563,0.35,0.938,0.965,0.782,2
"105",0.253,0.514,0.578,0.472,0.621,0.684,0.591,2
"106",0.262,0.078,0.083,0.065,0.329,0.29,0.211,2
"107",0.289,0.308,0.281,0.225,0.446,0.412,0.386,2
"108",0.289,0.378,0.416,0.433,0.474,0.661,0.594,2
"109",0.256,0.515,0.533,0.555,0.43,0.647,0.59,2
"110",0.297,0.424,0.543,0.311,0.959,0.955,0.763,2
"111",0.237,0.317,0.308,0.224,0.353,0.411,0.356,2
"112",0.224,0.291,0.246,0.219,0.33,0.362,0.326,2
"113",0.277,0.442,0.54,0.326,0.948,0.943,0.753,2
"114",0.238,0.104,0.108,0.088,0.35,0.316,0.251,2
"115",0.265,0.219,0.188,0.171,0.27,0.309,0.276,2
"116",0.272,0.464,0.467,0.419,0.343,0.427,0.435,2
"117",0.238,0.26,0.231,0.168,0.411,0.355,0.326,2
"118",0.255,0.448,0.459,0.36,0.478,0.461,0.421,2
"119",0.27,0.43,0.551,0.312,0.987,0.961,0.754,2
"120",0.283,0.302,0.33,0.213,0.491,0.46,0.388,2
"121",0.257,0.538,0.542,0.461,0.57,0.606,0.537,2
"122",0.2,0.508,0.623,0.499,0.672,0.787,0.673,2
"123",0.218,0.585,0.591,0.555,0.496,0.668,0.587,2
"124",0.252,0.408,0.415,0.32,0.584,0.457,0.413,2
"125",0.219,0.352,0.405,0.444,0.269,0.417,0.467,2
"126",0.215,0.314,0.303,0.224,0.347,0.387,0.344,2
"127",0.204,0.366,0.362,0.314,0.302,0.326,0.326,2
"128",0.226,0.6,0.627,0.59,0.478,0.607,0.506,2
"129",0.243,0.465,0.545,0.42,0.65,0.652,0.522,2
"130",0.254,0.542,0.603,0.643,0.422,0.652,0.611,2
"131",0.244,0.11,0.122,0.106,0.32,0.331,0.244,2
"132",0.274,0.461,0.568,0.33,0.953,0.993,0.786,2
"133",0.212,0.16,0.223,0.206,0.216,0.286,0.245,2
"134",0.296,0.072,0.106,0.067,0.333,0.274,0.205,2
"135",0.269,0.259,0.199,0.155,0.307,0.293,0.291,2
"136",0.281,0.749,0.713,0.673,0.486,0.702,0.674,2
"137",0.254,0.255,0.225,0.237,0.2,0.211,0.211,2
"138",0.255,0.445,0.52,0.317,0.895,0.982,0.771,2
"139",0.299,0.417,0.44,0.357,0.46,0.434,0.397,2
"140",0.281,0.366,0.399,0.31,0.354,0.31,0.263,2
"141",0.25,0.267,0.202,0.183,0.168,0.2,0.219,2
"142",0.237,0.356,0.322,0.307,0.255,0.259,0.263,2
"143",0.219,0.156,0.157,0.118,0.352,0.357,0.292,2
"144",0.239,0.015,0.008,0.004,0.204,0.198,0.133,2
"145",0.26,0.302,0.247,0.229,0.253,0.291,0.277,2
"146",0.247,0.144,0.153,0.102,0.426,0.396,0.316,2
"147",0.283,0.41,0.538,0.304,0.984,0.957,0.755,2
"148",0.28,0.083,0.089,0.064,0.359,0.303,0.226,2
"149",0.203,0.171,0.182,0.159,0.308,0.303,0.244,2
"150",0.299,0.179,0.206,0.156,0.447,0.408,0.311,2
"151",0.241,0.411,0.442,0.341,0.557,0.491,0.444,2
"152",0.289,0.501,0.515,0.453,0.554,0.661,0.57,2
"153",0.232,0.475,0.537,0.601,0.399,0.607,0.551,2
"154",0.237,0.429,0.532,0.311,0.952,0.953,0.726,2
"155",0.248,0.253,0.207,0.163,0.379,0.328,0.304,2
"156",0.238,0.14,0.203,0.176,0.352,0.323,0.244,2
"157",0.383,0.434,0.464,0.3,0.882,0.839,0.656,2
"158",0.313,0.296,0.291,0.217,0.309,0.348,0.321,2
"159",0.343,0.412,0.527,0.303,0.925,0.868,0.698,2
"160",0.39,0.421,0.52,0.305,0.922,0.957,0.754,2
"161",0.364,0.265,0.329,0.178,0.964,0.721,0.517,2
"162",0.328,0.462,0.554,0.34,0.96,0.963,0.777,2
"163",0.301,0.315,0.301,0.214,0.535,0.414,0.38,2
"164",0.381,0.432,0.506,0.312,0.897,0.899,0.723,2
"165",0.306,0.496,0.529,0.469,0.501,0.614,0.52,2
"166",0.304,0.397,0.45,0.324,0.42,0.343,0.327,2
"167",0.394,0.122,0.187,0.172,0.329,0.226,0.177,2
"168",0.4,0.084,0.152,0.097,0.536,0.405,0.285,2
"169",0.378,0.25,0.162,0.139,0.228,0.27,0.264,2
"170",0.303,0.467,0.535,0.333,0.89,0.934,0.762,2
"171",0.309,0.443,0.419,0.363,0.5,0.685,0.576,2
"172",0.314,0.478,0.559,0.331,0.915,0.956,0.776,2
"173",0.396,0.264,0.368,0.202,0.835,0.886,0.656,2
"174",0.348,0.466,0.567,0.339,0.965,1,0.804,2
"175",0.397,0.448,0.519,0.316,0.932,0.959,0.772,2
"176",0.347,0.394,0.387,0.306,0.527,0.468,0.428,2
"177",0.373,0.448,0.541,0.319,0.96,0.945,0.757,2
"178",0.39,0.388,0.484,0.273,0.956,0.861,0.665,2
"179",0.361,0.131,0.172,0.135,0.48,0.459,0.381,2
"180",0.341,0.472,0.572,0.337,0.943,0.974,0.788,2
"181",0.33,0.395,0.507,0.29,0.988,0.918,0.714,2
"182",0.319,0.43,0.405,0.342,0.49,0.439,0.392,2
"183",0.377,0.376,0.313,0.277,0.361,0.346,0.311,2
"184",0.359,0.166,0.209,0.164,0.402,0.396,0.298,2
"185",0.356,0.285,0.256,0.2,0.403,0.406,0.362,2
"186",0.381,0.251,0.27,0.229,0.366,0.439,0.375,2
"187",0.378,0.439,0.512,0.316,0.894,0.896,0.717,2
"188",0.396,0.433,0.516,0.304,0.927,0.924,0.724,2
"189",0.353,0.336,0.438,0.251,0.956,0.97,0.71,2
"190",0.374,0.089,0.071,0.07,0.213,0.162,0.101,2
"191",0.368,0.164,0.208,0.17,0.362,0.401,0.321,2
"192",0.316,0.408,0.442,0.344,0.52,0.479,0.424,2
"193",0.358,0.424,0.49,0.31,0.875,0.899,0.724,2
"194",0.303,0.635,0.659,0.721,0.439,0.566,0.459,2
"195",0.395,0.399,0.404,0.322,0.302,0.255,0.261,2
"196",0.384,0.407,0.472,0.305,0.865,0.895,0.705,2
"197",0.358,0.076,0.097,0.078,0.326,0.326,0.233,2
"198",0.346,0.437,0.457,0.356,0.459,0.503,0.452,2
"199",0.392,0.459,0.5,0.322,0.896,0.966,0.762,2
"200",0.373,0.111,0.126,0.143,0.16,0.151,0.136,2
"201",0.316,0.227,0.292,0.158,0.916,0.722,0.526,2
"202",0.306,0.329,0.374,0.321,0.4,0.363,0.327,2
"203",0.384,0.435,0.519,0.307,0.948,0.95,0.732,2
"204",0.344,0.097,0.164,0.113,0.423,0.33,0.237,2
"205",0.336,0.418,0.447,0.377,0.42,0.444,0.394,2
