"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"2018",0.986,0.009,0.022,0.014,0.285,0.126,0.054,1
"2019",0.938,0.013,0.03,0.018,0.301,0.16,0.074,1
"2020",1,0.152,0.174,0.162,0.376,0.278,0.196,1
"2021",0.92,0.008,0.006,0.005,0.019,0.008,0.006,1
"2022",0.956,0.017,0.039,0.027,0.346,0.19,0.094,1
"2023",0.977,0.174,0.178,0.179,0.394,0.296,0.216,1
"2024",1,0.009,0.028,0.016,0.307,0.146,0.065,1
"2025",0.998,0,0.003,0.003,0.061,0.023,0.011,1
"2026",0.99,0.014,0.017,0.013,0.115,0.05,0.027,1
"2027",0.996,0.21,0.237,0.231,0.411,0.365,0.305,1
"2028",0.962,0.007,0.006,0.005,0.028,0.014,0.008,1
"2029",0.962,0.073,0.105,0.092,0.355,0.227,0.14,1
"2030",0.983,0.01,0.026,0.016,0.306,0.141,0.059,1
"2031",0.997,0.008,0.022,0.014,0.292,0.126,0.052,1
"2032",0.962,0.009,0.026,0.016,0.301,0.138,0.059,1
"2033",0.979,0.044,0.058,0.046,0.344,0.19,0.097,1
"2034",0.998,0.001,0.006,0.003,0.068,0.027,0.013,1
"2035",0.949,0.012,0.036,0.019,0.364,0.16,0.071,1
"2036",0.967,0.007,0.007,0.006,0.052,0.022,0.012,1
"2037",0.995,0.009,0.023,0.015,0.279,0.129,0.057,1
"2038",0.958,0.014,0.031,0.019,0.332,0.172,0.078,1
"2039",0.994,0.047,0.05,0.047,0.113,0.088,0.062,1
"2040",0.998,0.01,0.029,0.017,0.312,0.143,0.065,1
"2041",0.93,0.011,0.033,0.018,0.363,0.17,0.08,1
"2042",0.913,0.003,0.002,0.003,0.015,0.009,0.006,1
"2043",0.999,0.008,0.024,0.016,0.304,0.13,0.054,1
"2044",0.947,0.02,0.04,0.024,0.397,0.173,0.074,1
"2045",0.974,0.011,0.03,0.017,0.305,0.147,0.065,1
"2046",0.912,0.013,0.031,0.019,0.329,0.169,0.077,1
"2047",0.993,0.019,0.035,0.022,0.312,0.147,0.065,1
"2048",0.935,0.022,0.039,0.025,0.37,0.168,0.076,1
"2049",0.985,0.039,0.053,0.038,0.403,0.218,0.108,1
"2050",0.97,0.011,0.029,0.017,0.334,0.159,0.067,1
"2051",0.924,0.564,0.591,0.588,0.608,0.638,0.62,1
"2052",0.963,0.018,0.042,0.024,0.362,0.194,0.098,1
"2053",0.994,0.007,0.028,0.016,0.312,0.133,0.057,1
"2054",0.934,0.029,0.048,0.029,0.387,0.191,0.093,1
