"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1064",0.718,0.007,0.028,0.015,0.242,0.127,0.055,1
"1065",0.721,0.025,0.033,0.023,0.216,0.103,0.049,1
"1066",0.732,0.021,0.044,0.034,0.295,0.16,0.078,1
"1067",0.756,0.013,0.041,0.02,0.416,0.211,0.097,1
"1068",0.79,0.044,0.074,0.055,0.385,0.197,0.105,1
"1069",0.73,0.015,0.038,0.021,0.395,0.202,0.097,1
"1070",0.737,0.071,0.108,0.089,0.374,0.272,0.174,1
"1071",0.742,0.016,0.033,0.023,0.259,0.129,0.053,1
"1072",0.722,0.021,0.054,0.029,0.46,0.245,0.122,1
"1073",0.784,0.034,0.059,0.039,0.406,0.214,0.103,1
"1074",0.701,0.025,0.043,0.03,0.36,0.167,0.08,1
"1075",0.758,0.047,0.061,0.048,0.332,0.182,0.098,1
"1076",0.776,0.016,0.036,0.021,0.35,0.186,0.087,1
"1077",0.75,0.011,0.034,0.016,0.372,0.175,0.078,1
"1078",0.744,0.018,0.04,0.023,0.396,0.188,0.083,1
"1079",0.706,0.015,0.043,0.022,0.38,0.185,0.087,1
"1080",0.739,0.01,0.019,0.011,0.155,0.069,0.032,1
"1081",0.73,0.023,0.047,0.036,0.317,0.146,0.066,1
"1082",0.782,0.366,0.396,0.39,0.545,0.51,0.453,1
"1083",0.711,0.362,0.377,0.37,0.54,0.502,0.457,1
"1084",0.787,0.027,0.044,0.028,0.406,0.185,0.087,1
"1085",0.729,0.022,0.044,0.027,0.415,0.186,0.082,1
"1086",0.748,0.017,0.043,0.025,0.382,0.209,0.097,1
"1087",0.738,0.023,0.039,0.024,0.316,0.177,0.082,1
"1088",0.74,0.019,0.038,0.022,0.402,0.183,0.089,1
"1089",0.71,0.013,0.036,0.019,0.365,0.175,0.076,1
"1090",0.706,0.015,0.038,0.027,0.304,0.152,0.063,1
"1091",0.75,0.006,0.018,0.012,0.185,0.082,0.037,1
"1092",0.711,0.012,0.037,0.019,0.446,0.183,0.085,1
"1093",0.715,0.034,0.058,0.037,0.432,0.237,0.117,1
"1094",0.795,0.016,0.033,0.02,0.336,0.144,0.064,1
"1095",0.79,0.011,0.031,0.017,0.351,0.163,0.075,1
"1096",0.711,0.331,0.351,0.336,0.54,0.51,0.445,1
"1097",0.794,0.029,0.055,0.048,0.287,0.128,0.058,1
"1098",0.773,0.009,0.027,0.014,0.307,0.168,0.078,1
"1099",0.751,0.018,0.033,0.023,0.32,0.171,0.079,1
"1100",0.761,0.017,0.041,0.027,0.353,0.188,0.094,1
"1101",0.726,0.018,0.039,0.024,0.375,0.213,0.107,1
"1102",0.788,0.011,0.028,0.015,0.321,0.149,0.066,1
"1103",0.733,0.018,0.032,0.022,0.285,0.129,0.059,1
"1104",0.799,0.05,0.092,0.072,0.434,0.252,0.154,1
"1105",0.797,0.039,0.054,0.041,0.351,0.193,0.104,1
"1106",0.728,0.023,0.043,0.029,0.337,0.187,0.093,1
"1107",0.783,0.018,0.044,0.024,0.43,0.234,0.118,1
"1108",0.775,0.011,0.033,0.017,0.37,0.183,0.084,1
"1109",0.751,0.013,0.031,0.019,0.336,0.166,0.077,1
"1110",0.775,0.628,0.605,0.616,0.68,0.664,0.67,2
"1111",0.704,0.016,0.035,0.019,0.34,0.156,0.072,1
"1112",0.796,0.01,0.031,0.017,0.371,0.171,0.079,1
"1113",0.716,0.009,0.029,0.016,0.348,0.167,0.074,1
"1114",0.702,0.352,0.362,0.354,0.492,0.456,0.422,1
"1115",0.788,0.169,0.176,0.166,0.328,0.263,0.227,1
"1116",0.774,0.306,0.317,0.321,0.539,0.461,0.379,1
"1117",0.743,0.05,0.076,0.059,0.375,0.222,0.132,1
"1118",0.72,0.016,0.037,0.021,0.382,0.193,0.09,1
"1119",0.733,0.426,0.444,0.444,0.674,0.643,0.597,1
"1120",0.708,0.014,0.042,0.023,0.328,0.165,0.077,1
"1121",0.701,0.04,0.06,0.046,0.354,0.191,0.102,1
"1122",0.792,0.017,0.034,0.021,0.344,0.151,0.067,1
"1123",0.756,0.391,0.396,0.398,0.539,0.533,0.525,1
"1124",0.788,0.019,0.036,0.023,0.338,0.173,0.08,1
"1125",0.751,0.084,0.098,0.078,0.388,0.207,0.134,1
"1126",0.736,0.031,0.049,0.031,0.399,0.197,0.098,1
"1127",0.798,0.013,0.034,0.017,0.393,0.183,0.078,1
"1128",0.799,0.009,0.021,0.012,0.202,0.095,0.039,1
"1129",0.759,0.012,0.022,0.015,0.146,0.086,0.044,1
"1130",0.751,0.015,0.039,0.022,0.382,0.213,0.103,1
"1131",0.751,0.015,0.031,0.017,0.285,0.121,0.055,1
"1132",0.746,0.069,0.088,0.077,0.246,0.194,0.126,1
"1133",0.733,0.022,0.041,0.024,0.407,0.203,0.094,1
"1134",0.783,0.016,0.038,0.021,0.395,0.205,0.098,1
"1135",0.733,0.016,0.038,0.021,0.38,0.21,0.1,1
"1136",0.723,0.013,0.034,0.02,0.367,0.175,0.081,1
"1137",0.732,0.624,0.612,0.616,0.678,0.707,0.709,1
"1138",0.722,0.709,0.685,0.68,0.669,0.62,0.619,1
"1139",0.766,0.009,0.027,0.015,0.328,0.152,0.07,1
"1140",0.777,0.008,0.01,0.007,0.06,0.028,0.017,1
"1141",0.767,0.017,0.037,0.023,0.353,0.171,0.079,1
"1142",0.766,0.253,0.252,0.243,0.342,0.331,0.294,1
"1143",0.798,0.013,0.035,0.02,0.417,0.202,0.09,1
"1144",0.741,0.016,0.04,0.022,0.43,0.205,0.095,1
"1145",0.737,0.037,0.053,0.037,0.394,0.187,0.09,1
"1146",0.744,0.167,0.16,0.153,0.448,0.279,0.197,1
"1147",0.777,0.23,0.284,0.264,0.448,0.414,0.364,1
"1148",0.773,0.026,0.042,0.027,0.375,0.177,0.08,1
"1149",0.774,0.029,0.046,0.027,0.379,0.17,0.08,1
"1150",0.758,0.019,0.052,0.028,0.447,0.234,0.117,1
"1151",0.803,0.024,0.047,0.031,0.398,0.236,0.118,1
"1152",0.892,0.018,0.035,0.021,0.359,0.161,0.071,1
"1153",0.83,0.03,0.05,0.043,0.235,0.128,0.064,1
"1154",0.822,0.015,0.036,0.021,0.39,0.205,0.096,1
"1155",0.894,0.013,0.032,0.018,0.319,0.163,0.074,1
"1156",0.893,0.012,0.042,0.02,0.381,0.169,0.074,1
"1157",0.868,0.012,0.035,0.019,0.343,0.166,0.075,1
"1158",0.86,0.03,0.05,0.03,0.416,0.2,0.101,1
"1159",0.832,0.019,0.037,0.023,0.339,0.172,0.083,1
"1160",0.866,0.016,0.03,0.018,0.338,0.152,0.068,1
"1161",0.836,0.032,0.051,0.032,0.412,0.199,0.095,1
"1162",0.88,0.013,0.015,0.013,0.068,0.032,0.022,1
"1163",0.894,0.011,0.036,0.019,0.349,0.161,0.073,1
"1164",0.871,0.15,0.175,0.166,0.427,0.283,0.207,1
"1165",0.868,0.147,0.141,0.127,0.237,0.188,0.157,1
"1166",0.877,0.024,0.046,0.026,0.397,0.23,0.11,1
"1167",0.849,0.031,0.051,0.031,0.382,0.184,0.088,1
"1168",0.848,0.012,0.024,0.014,0.258,0.131,0.062,1
"1169",0.877,0.131,0.157,0.147,0.367,0.31,0.22,1
"1170",0.851,0.019,0.041,0.024,0.303,0.168,0.087,1
"1171",0.844,0.012,0.031,0.016,0.33,0.172,0.079,1
"1172",0.87,0.012,0.035,0.017,0.444,0.182,0.074,1
"1173",0.873,0.01,0.027,0.016,0.3,0.159,0.072,1
"1174",0.876,0.016,0.039,0.027,0.388,0.209,0.099,1
"1175",0.88,0.001,0,0.001,0.008,0.003,0.002,1
"1176",0.813,0.009,0.014,0.009,0.082,0.045,0.023,1
"1177",0.895,0.011,0.029,0.017,0.293,0.145,0.063,1
"1178",0.845,0.034,0.05,0.035,0.386,0.181,0.089,1
"1179",0.893,0.338,0.351,0.353,0.575,0.49,0.406,1
"1180",0.873,0.019,0.038,0.022,0.349,0.18,0.086,1
"1181",0.811,0.153,0.167,0.156,0.467,0.316,0.224,1
"1182",0.82,0.017,0.036,0.021,0.343,0.182,0.088,1
"1183",0.801,0.01,0.031,0.016,0.38,0.16,0.074,1
"1184",0.812,0.017,0.041,0.024,0.383,0.186,0.087,1
"1185",0.808,0.063,0.093,0.076,0.389,0.246,0.151,1
"1186",0.874,0.012,0.013,0.009,0.072,0.035,0.018,1
"1187",0.813,0.014,0.043,0.021,0.415,0.172,0.077,1
"1188",0.805,0.022,0.048,0.045,0.202,0.127,0.056,1
"1189",0.833,0.011,0.013,0.008,0.09,0.037,0.019,1
"1190",0.865,0.003,0.003,0.003,0.026,0.014,0.007,1
"1191",0.823,0.036,0.043,0.032,0.282,0.141,0.073,1
"1192",0.844,0.006,0.015,0.008,0.148,0.066,0.028,1
"1193",0.832,0.01,0.019,0.012,0.151,0.067,0.032,1
"1194",0.9,0.011,0.033,0.018,0.386,0.173,0.075,1
"1195",0.803,0.016,0.032,0.022,0.246,0.127,0.053,1
"1196",0.899,0.27,0.245,0.248,0.423,0.326,0.274,1
"1197",0.869,0.013,0.026,0.017,0.257,0.125,0.055,1
"1198",0.801,0.015,0.034,0.02,0.361,0.176,0.083,1
"1199",0.827,0.016,0.041,0.032,0.268,0.101,0.049,1
"1200",0.849,0.019,0.043,0.03,0.356,0.189,0.094,1
