"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.053,0.024,0.06,0.046,0.367,0.24,0.128,1
"2",0.012,0.039,0.075,0.076,0.348,0.367,0.262,1
"3",0.095,0.024,0.057,0.041,0.374,0.266,0.151,1
"4",0.003,0.027,0.06,0.054,0.307,0.262,0.16,1
"5",0.007,0.027,0.058,0.052,0.318,0.271,0.163,1
"6",0.076,0.011,0.02,0.015,0.106,0.058,0.036,1
"7",0.047,0.028,0.058,0.054,0.301,0.26,0.155,1
"8",0.015,0.028,0.065,0.051,0.363,0.273,0.151,1
"9",0.086,0.016,0.028,0.024,0.12,0.088,0.05,1
"10",0.038,0.025,0.05,0.047,0.281,0.199,0.116,1
"11",0,0.028,0.071,0.043,0.504,0.281,0.143,1
"12",0.065,0.027,0.057,0.05,0.307,0.257,0.154,1
"13",0.017,0.035,0.068,0.06,0.349,0.295,0.181,1
"14",0.067,0.022,0.054,0.03,0.5,0.253,0.121,1
"15",0.089,0.028,0.064,0.056,0.353,0.272,0.164,1
"16",0.036,0.044,0.077,0.067,0.359,0.238,0.135,1
"17",0.077,0.027,0.045,0.043,0.193,0.135,0.062,1
"18",0.049,0.021,0.038,0.036,0.202,0.149,0.085,1
"19",0.038,0.013,0.023,0.025,0.05,0.069,0.044,1
"20",0.091,0.033,0.064,0.059,0.334,0.29,0.18,1
"21",0.048,0.026,0.058,0.04,0.386,0.253,0.137,1
"22",0.071,0.012,0.022,0.016,0.097,0.057,0.031,1
"23",0.015,0.021,0.056,0.039,0.39,0.233,0.118,1
"24",0.019,0.028,0.056,0.047,0.342,0.237,0.13,1
"25",0,0.171,0.194,0.192,0.501,0.376,0.268,1
"26",0,0.017,0.031,0.027,0.141,0.117,0.07,1
"27",0.058,0.022,0.061,0.032,0.496,0.261,0.127,1
"28",0.036,0.018,0.041,0.03,0.236,0.148,0.074,1
"29",0.034,0.03,0.062,0.059,0.321,0.284,0.178,1
"30",0.093,0.03,0.074,0.059,0.389,0.304,0.176,1
"31",0.079,0.025,0.052,0.046,0.339,0.248,0.142,1
"32",0,0.028,0.07,0.041,0.531,0.273,0.139,1
"33",0.011,0.028,0.063,0.054,0.325,0.272,0.163,1
"34",0.069,0.029,0.064,0.058,0.322,0.289,0.182,1
"35",0.064,0.015,0.029,0.017,0.156,0.079,0.043,1
"36",0.055,0.013,0.025,0.019,0.092,0.07,0.036,1
"37",0.029,0.027,0.052,0.053,0.263,0.24,0.152,1
"38",0.025,0.028,0.057,0.049,0.32,0.258,0.153,1
"39",0.055,0.028,0.059,0.05,0.355,0.263,0.152,1
"40",0.018,0.019,0.035,0.027,0.17,0.105,0.063,1
"41",0.028,0.028,0.062,0.049,0.379,0.289,0.17,1
"42",0,0.029,0.073,0.044,0.506,0.289,0.149,1
"43",0.001,0.029,0.07,0.044,0.484,0.288,0.151,1
"44",0.092,0.033,0.064,0.057,0.368,0.284,0.167,1
"45",0.052,0.025,0.066,0.04,0.446,0.265,0.138,1
"46",0,0.028,0.074,0.043,0.479,0.263,0.133,1
"47",0.002,0.027,0.064,0.05,0.374,0.259,0.145,1
"48",0.086,0.03,0.072,0.068,0.343,0.218,0.118,1
"49",0.068,0.036,0.082,0.08,0.37,0.233,0.123,1
"50",0.059,0.023,0.048,0.043,0.292,0.24,0.147,1
"51",0.082,0.016,0.029,0.022,0.162,0.1,0.054,1
"52",0.023,0.027,0.062,0.047,0.405,0.273,0.149,1
"53",0.094,0.03,0.065,0.048,0.404,0.275,0.158,1
"54",0.066,0.026,0.052,0.049,0.268,0.254,0.163,1
"55",0.079,0.019,0.051,0.035,0.363,0.214,0.109,1
"56",0.021,0.033,0.06,0.057,0.314,0.27,0.17,1
"57",0.094,0.025,0.05,0.043,0.306,0.263,0.156,1
"58",0.007,0.028,0.064,0.051,0.386,0.279,0.157,1
"59",0.096,0.028,0.056,0.052,0.326,0.265,0.161,1
"60",0.052,0.026,0.061,0.046,0.39,0.265,0.141,1
"61",0.035,0.024,0.05,0.045,0.287,0.245,0.145,1
"62",0.007,0.026,0.057,0.049,0.341,0.269,0.156,1
"63",0.03,0.03,0.063,0.053,0.363,0.282,0.172,1
"64",0.037,0.03,0.065,0.05,0.4,0.272,0.147,1
"65",0.018,0.028,0.064,0.051,0.352,0.263,0.153,1
"66",0.013,0.024,0.051,0.046,0.299,0.259,0.156,1
"67",0.051,0.028,0.062,0.051,0.366,0.282,0.162,1
"68",0.031,0.027,0.062,0.055,0.342,0.249,0.141,1
"69",0,0.021,0.04,0.036,0.196,0.154,0.092,1
"70",0.084,0.027,0.072,0.048,0.435,0.294,0.16,1
"71",0.037,0.026,0.059,0.05,0.337,0.255,0.146,1
"72",0.047,0.013,0.023,0.02,0.128,0.071,0.039,1
"73",0.086,0.022,0.048,0.037,0.341,0.23,0.129,1
"74",0.037,0.027,0.06,0.048,0.367,0.271,0.154,1
"75",0.019,0.034,0.067,0.051,0.422,0.241,0.124,1
"76",0.025,0.028,0.059,0.056,0.309,0.276,0.17,1
"77",0,0.015,0.038,0.023,0.347,0.195,0.09,1
"78",0,0.028,0.066,0.054,0.386,0.283,0.155,1
"79",0.056,0.02,0.057,0.041,0.313,0.202,0.108,1
"80",0.022,0.027,0.066,0.058,0.363,0.265,0.155,1
"81",0.032,0.397,0.419,0.418,0.573,0.565,0.533,1
"82",0.054,0.011,0.02,0.016,0.054,0.054,0.035,1
"83",0.003,0.012,0.022,0.016,0.077,0.054,0.032,1
"84",0,0.015,0.028,0.024,0.129,0.086,0.052,1
"85",0.037,0.022,0.046,0.039,0.298,0.241,0.137,1
"86",0.006,0.025,0.054,0.049,0.281,0.253,0.149,1
"87",0.023,0.024,0.068,0.044,0.454,0.277,0.143,1
"88",0.029,0.031,0.068,0.059,0.37,0.297,0.174,1
"89",0.071,0.014,0.023,0.018,0.098,0.068,0.041,1
"90",0,0.034,0.072,0.06,0.382,0.33,0.211,1
"91",0.048,0.026,0.061,0.044,0.392,0.258,0.141,1
"92",0.049,0.035,0.065,0.061,0.315,0.288,0.187,1
"93",0.028,0.059,0.102,0.089,0.444,0.252,0.139,1
"94",0.002,0.029,0.071,0.044,0.531,0.293,0.147,1
"95",0.032,0.016,0.027,0.022,0.103,0.076,0.047,1
"96",0.002,0.024,0.066,0.038,0.431,0.244,0.124,1
"97",0.001,0.013,0.023,0.019,0.087,0.074,0.045,1
"98",0.011,0.031,0.074,0.064,0.387,0.299,0.171,1
"99",0.085,0.024,0.048,0.036,0.363,0.173,0.091,1
"100",0.059,0.031,0.066,0.058,0.356,0.268,0.163,1
"101",0.042,0.064,0.091,0.078,0.404,0.284,0.162,1
"102",0.034,0.026,0.054,0.041,0.367,0.228,0.122,1
"103",0.01,0.029,0.066,0.054,0.381,0.287,0.161,1
"104",0.005,0.029,0.066,0.055,0.376,0.277,0.163,1
"105",0.026,0.018,0.038,0.034,0.183,0.158,0.098,1
"106",0.001,0.027,0.065,0.043,0.433,0.262,0.139,1
"107",0.002,0.014,0.023,0.02,0.092,0.07,0.042,1
"108",0.045,0.029,0.066,0.057,0.366,0.278,0.158,1
"109",0.056,0.017,0.05,0.028,0.392,0.197,0.095,1
"110",0.04,0.013,0.027,0.019,0.162,0.084,0.048,1
"111",0.009,0.02,0.046,0.035,0.339,0.255,0.14,1
"112",0.029,0.013,0.025,0.021,0.085,0.065,0.035,1
"113",0.031,0.026,0.058,0.049,0.357,0.262,0.151,1
"114",0.011,0.026,0.068,0.047,0.405,0.273,0.144,1
"115",0.012,0.015,0.029,0.024,0.114,0.107,0.058,1
