"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"564",0.519,0.076,0.05,0.052,0.683,0.244,0.114,1
"565",0.534,0.124,0.112,0.134,0.582,0.272,0.145,1
"566",0.593,0.139,0.133,0.095,0.743,0.286,0.133,1
"567",0.524,0.122,0.115,0.121,0.606,0.297,0.161,1
"568",0.56,0.104,0.127,0.137,0.657,0.275,0.132,1
"569",0.569,0.148,0.113,0.117,0.563,0.312,0.181,1
"570",0.524,0.162,0.162,0.173,0.679,0.343,0.197,1
"571",0.534,0.166,0.16,0.157,0.522,0.261,0.14,1
"572",0.541,0.099,0.107,0.073,0.69,0.272,0.129,1
"573",0.552,0.133,0.111,0.094,0.765,0.283,0.137,1
"574",0.555,0.039,0.063,0.042,0.811,0.3,0.127,1
"575",0.531,0.25,0.237,0.267,0.613,0.421,0.302,1
"576",0.524,0.157,0.154,0.128,0.799,0.34,0.173,1
"577",0.56,0.085,0.077,0.103,0.436,0.161,0.064,1
"578",0.54,0.107,0.085,0.076,0.732,0.305,0.136,1
"579",0.548,0.119,0.118,0.105,0.771,0.341,0.175,1
"580",0.509,0.126,0.117,0.093,0.799,0.299,0.13,1
"581",0.528,0.115,0.117,0.091,0.837,0.306,0.15,1
"582",0.536,0.376,0.433,0.391,0.566,0.301,0.152,1
"583",0.505,0.063,0.068,0.053,0.69,0.237,0.098,1
"584",0.507,0.105,0.121,0.082,0.719,0.259,0.124,1
"585",0.547,0.116,0.106,0.092,0.742,0.329,0.157,1
"586",0.541,0.043,0.086,0.054,0.824,0.268,0.11,1
"587",0.549,0.145,0.157,0.154,0.539,0.229,0.128,1
"588",0.558,0.099,0.101,0.099,0.67,0.296,0.149,1
"589",0.551,0.112,0.101,0.083,0.781,0.26,0.121,1
"590",0.512,0.096,0.092,0.084,0.766,0.292,0.139,1
"591",0.562,0.104,0.098,0.083,0.77,0.309,0.147,1
"592",0.555,0.101,0.087,0.096,0.644,0.309,0.169,1
"593",0.582,0.123,0.115,0.106,0.732,0.306,0.155,1
"594",0.565,0.186,0.173,0.172,0.716,0.405,0.224,1
"595",0.577,0.262,0.214,0.235,0.454,0.493,0.378,1
"596",0.584,0.124,0.074,0.084,0.592,0.255,0.128,1
"597",0.585,0.116,0.097,0.084,0.729,0.294,0.146,1
"598",0.54,0.261,0.23,0.243,0.641,0.416,0.265,1
"599",0.555,0.039,0.095,0.051,0.805,0.287,0.124,1
"600",0.572,0.103,0.087,0.095,0.61,0.265,0.142,1
"601",0.535,0.053,0.059,0.059,0.719,0.277,0.117,1
"602",0.571,0.221,0.203,0.214,0.461,0.251,0.152,1
"603",0.56,0.276,0.323,0.282,0.553,0.296,0.182,1
"604",0.518,0.041,0.092,0.048,0.894,0.298,0.119,1
"605",0.595,0.114,0.12,0.122,0.654,0.324,0.175,1
"606",0.537,0.102,0.112,0.086,0.842,0.329,0.154,1
"607",0.594,0.084,0.089,0.075,0.719,0.251,0.128,1
"608",0.575,0.076,0.089,0.067,0.778,0.284,0.128,1
"609",0.514,0.076,0.068,0.096,0.388,0.11,0.046,1
"610",0.512,0.242,0.175,0.189,0.511,0.38,0.258,1
"611",0.589,0.196,0.225,0.198,0.526,0.295,0.168,1
"612",0.527,0.118,0.107,0.123,0.643,0.311,0.161,1
"613",0.533,0.18,0.157,0.149,0.588,0.332,0.186,1
"614",0.553,0.136,0.152,0.145,0.519,0.221,0.129,1
"615",0.548,0.154,0.14,0.166,0.594,0.313,0.176,1
"616",0.577,0.127,0.115,0.113,0.728,0.321,0.156,1
"617",0.531,0.208,0.186,0.214,0.501,0.397,0.287,1
"618",0.595,0.156,0.154,0.155,0.494,0.251,0.145,1
"619",0.564,0.234,0.209,0.205,0.724,0.366,0.215,1
"620",0.513,0.21,0.22,0.214,0.526,0.3,0.178,1
"621",0.504,0.054,0.098,0.096,0.539,0.153,0.077,1
"622",0.553,0.039,0.059,0.052,0.731,0.256,0.112,1
"623",0.532,0.042,0.056,0.051,0.724,0.269,0.112,1
"624",0.515,0.088,0.067,0.084,0.588,0.239,0.126,1
"625",0.571,0.191,0.135,0.144,0.665,0.351,0.198,1
"626",0.602,0.102,0.088,0.078,0.755,0.259,0.124,1
"627",0.53,0.284,0.315,0.317,0.411,0.173,0.091,1
"628",0.575,0.045,0.04,0.053,0.684,0.265,0.113,1
"629",0.566,0.135,0.128,0.116,0.762,0.306,0.169,1
"630",0.56,0.238,0.182,0.192,0.663,0.309,0.174,1
"631",0.587,0.04,0.024,0.045,0.693,0.262,0.111,1
"632",0.547,0.237,0.199,0.206,0.572,0.454,0.316,1
"633",0.598,0.041,0.059,0.046,0.689,0.232,0.107,1
"634",0.562,0.047,0.071,0.086,0.554,0.169,0.088,1
"635",0.548,0.096,0.076,0.07,0.681,0.264,0.128,1
"636",0.568,0.244,0.205,0.219,0.658,0.433,0.309,1
"637",0.526,0.111,0.102,0.077,0.779,0.3,0.135,1
"638",0.538,0.122,0.149,0.139,0.636,0.292,0.189,1
"639",0.552,0.107,0.138,0.076,0.795,0.269,0.114,1
"640",0.587,0.282,0.336,0.291,0.439,0.153,0.072,1
"641",0.591,0.109,0.111,0.085,0.727,0.301,0.144,1
"642",0.605,0.264,0.272,0.261,0.5,0.276,0.166,1
"643",0.615,0.266,0.217,0.244,0.687,0.418,0.256,1
"644",0.698,0.093,0.06,0.059,0.671,0.253,0.119,1
"645",0.634,0.159,0.149,0.122,0.652,0.248,0.114,1
"646",0.653,0.242,0.281,0.255,0.556,0.297,0.166,1
"647",0.702,0.172,0.172,0.167,0.543,0.252,0.143,1
"648",0.678,0.05,0.03,0.05,0.447,0.134,0.056,1
"649",0.662,0.113,0.13,0.081,0.821,0.258,0.112,1
"650",0.678,0.085,0.072,0.059,0.811,0.258,0.113,1
"651",0.68,0.072,0.096,0.072,0.814,0.285,0.121,1
"652",0.636,0.223,0.253,0.212,0.503,0.177,0.087,1
"653",0.65,0.136,0.118,0.119,0.692,0.316,0.168,1
"654",0.634,0.101,0.071,0.072,0.737,0.243,0.112,1
"655",0.679,0.157,0.142,0.125,0.724,0.337,0.168,1
"656",0.678,0.036,0.042,0.044,0.746,0.279,0.118,1
"657",0.673,0.099,0.069,0.098,0.472,0.229,0.126,1
"658",0.646,0.055,0.065,0.05,0.725,0.244,0.108,1
"659",0.633,0.041,0.025,0.058,0.548,0.211,0.086,1
