"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.006,0.473,0.51,0.529,0.516,0.835,0.74,1
"2",0.006,0.336,0.598,0.296,0.82,0.638,0.454,1
"3",0,0.403,0.391,0.442,0.448,0.863,0.827,1
"4",0.02,0.258,0.502,0.213,0.825,0.53,0.357,1
"5",0.025,0.236,0.398,0.231,0.747,0.505,0.351,1
"6",0,0.724,0.791,0.771,0.032,0.022,0.02,1
"7",0,0.176,0.249,0.124,0.819,0.378,0.206,1
"8",0.096,0.215,0.369,0.213,0.713,0.474,0.316,1
"9",0,0.241,0.451,0.185,0.768,0.535,0.34,1
"10",0,0.858,0.961,0.976,0.035,0.008,0.008,1
"11",0,0.27,0.336,0.236,0.676,0.435,0.309,1
"12",0,0.82,0.972,0.887,0.014,0.008,0.011,1
"13",0,0.846,0.943,0.976,0.035,0.005,0.007,1
"14",0,0.488,0.463,0.617,0.459,0.93,0.898,1
"15",0,0.822,0.971,0.896,0.008,0.002,0.005,1
"16",0.041,0.691,0.774,0.785,0.067,0.031,0.024,1
"17",0,0.835,0.998,0.9,0.005,0.001,0.003,1
"18",0.09,0.279,0.374,0.343,0.56,0.59,0.472,1
"19",0.005,0.397,0.574,0.443,0.667,0.685,0.543,1
"20",0,0.729,0.865,0.795,0.009,0.009,0.013,1
"21",0,0.827,0.982,0.899,0.008,0.001,0.003,1
"22",0.078,0.269,0.485,0.244,0.777,0.566,0.375,1
"23",0,0.244,0.518,0.19,0.901,0.536,0.337,1
"24",0,0.302,0.575,0.262,0.855,0.54,0.354,1
"25",0,0.171,0.312,0.153,0.723,0.375,0.208,1
"26",0,0.162,0.314,0.118,0.841,0.382,0.208,1
"27",0.024,0.169,0.3,0.122,0.807,0.394,0.217,1
"28",0,0.321,0.549,0.287,0.687,0.539,0.399,1
"29",0,0.827,0.984,0.883,0.005,0.001,0.003,1
"30",0,0.828,0.982,0.905,0.007,0.002,0.006,1
"31",0,0.53,0.49,0.591,0.454,0.837,0.773,1
"32",0.001,0.573,0.712,0.566,0.679,0.638,0.588,1
"33",0,0.817,0.891,0.853,0.029,0.006,0.007,1
"34",0.081,0.349,0.321,0.292,0.507,0.446,0.352,1
"35",0.002,0.169,0.317,0.129,0.852,0.403,0.222,1
"36",0,0.736,0.813,0.937,0.063,0.006,0.002,1
"37",0.023,0.358,0.584,0.293,0.774,0.652,0.47,1
"38",0,0.659,0.722,0.77,0.063,0.024,0.015,1
"39",0.078,0.193,0.309,0.16,0.746,0.428,0.268,1
"40",0.008,0.175,0.358,0.128,0.858,0.415,0.232,1
"41",0,0.282,0.561,0.237,0.867,0.536,0.347,1
"42",0.045,0.233,0.472,0.177,0.883,0.497,0.303,1
"43",0.063,0.233,0.465,0.183,0.846,0.509,0.315,1
"44",0,0.436,0.49,0.462,0.565,0.7,0.596,1
"45",0,0.44,0.514,0.503,0.567,0.73,0.614,1
"46",0,0.413,0.711,0.455,0.822,0.627,0.48,1
"47",0,0.827,0.986,0.903,0.008,0.003,0.003,1
"48",0,0.29,0.365,0.266,0.634,0.452,0.343,1
"49",0.023,0.635,0.681,0.678,0.066,0.03,0.027,1
"50",0,0.733,0.816,0.815,0.039,0.006,0.007,1
"51",0,0.804,0.896,0.928,0.03,0.003,0.004,1
"52",0.012,0.33,0.298,0.26,0.648,0.563,0.419,1
"53",0,0.706,0.799,0.783,0.048,0.015,0.018,1
"54",0,0.696,0.848,0.764,0.004,0.003,0.003,1
"55",0,0.316,0.549,0.331,0.725,0.549,0.402,1
"56",0,0.84,0.914,0.914,0.059,0.006,0.005,1
"57",0,0.829,0.909,0.918,0.067,0.007,0.009,1
"58",0.011,0.482,0.346,0.464,0.296,0.666,0.725,1
"59",0,0.799,0.878,0.837,0.025,0.007,0.007,1
"60",0,0.29,0.455,0.284,0.711,0.625,0.462,1
"61",0.029,0.318,0.446,0.309,0.649,0.626,0.503,1
"62",0,0.734,0.826,0.811,0.037,0.007,0.009,1
"63",0.032,0.378,0.448,0.356,0.542,0.627,0.532,1
"64",0,0.728,0.814,0.786,0.015,0.008,0.011,1
"65",0.019,0.254,0.499,0.253,0.768,0.521,0.346,1
"66",0,0.462,0.611,0.446,0.679,0.74,0.583,1
"67",0.003,0.248,0.554,0.226,0.878,0.532,0.348,1
"68",0.004,0.267,0.423,0.241,0.662,0.495,0.373,1
"69",0,0.179,0.44,0.151,0.872,0.471,0.285,1
"70",0,0.187,0.442,0.189,0.766,0.524,0.342,1
