"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1232",0.275,0.198,0.325,0.176,0.735,0.437,0.256,1
"1233",0.224,0.346,0.498,0.338,0.723,0.615,0.422,1
"1234",0.284,0.239,0.259,0.186,0.687,0.444,0.305,1
"1235",0.251,0.241,0.452,0.183,0.83,0.534,0.314,1
"1236",0.275,0.247,0.307,0.216,0.617,0.43,0.303,1
"1237",0.291,0.352,0.426,0.318,0.613,0.488,0.33,1
"1238",0.235,0.254,0.277,0.257,0.516,0.512,0.366,1
"1239",0.23,0.36,0.387,0.427,0.46,0.593,0.487,1
"1240",0.202,0.497,0.573,0.515,0.553,0.516,0.415,1
"1241",0.218,0.215,0.376,0.222,0.676,0.392,0.236,1
"1242",0.297,0.36,0.361,0.374,0.521,0.639,0.504,1
"1243",0.204,0.511,0.541,0.626,0.178,0.088,0.052,1
"1244",0.227,0.277,0.453,0.239,0.764,0.525,0.325,1
"1245",0.264,0.166,0.259,0.142,0.688,0.392,0.216,1
"1246",0.21,0.222,0.431,0.164,0.832,0.507,0.299,1
"1247",0.285,0.169,0.181,0.109,0.632,0.337,0.18,1
"1248",0.244,0.339,0.387,0.395,0.531,0.547,0.405,1
"1249",0.299,0.267,0.4,0.215,0.808,0.523,0.322,1
"1250",0.237,0.151,0.231,0.15,0.616,0.379,0.215,1
"1251",0.234,0.599,0.481,0.543,0.317,0.637,0.61,1
"1252",0.207,0.124,0.155,0.09,0.587,0.339,0.182,1
"1253",0.201,0.195,0.321,0.171,0.672,0.426,0.25,1
"1254",0.24,0.229,0.268,0.219,0.573,0.469,0.311,1
"1255",0.291,0.171,0.202,0.166,0.717,0.49,0.283,1
"1256",0.212,0.413,0.383,0.375,0.47,0.521,0.41,1
"1257",0.213,0.142,0.174,0.098,0.754,0.487,0.269,1
"1258",0.283,0.194,0.269,0.171,0.667,0.405,0.24,1
"1259",0.256,0.175,0.296,0.133,0.758,0.393,0.206,1
"1260",0.277,0.317,0.363,0.267,0.607,0.502,0.339,1
"1261",0.258,0.222,0.258,0.2,0.606,0.498,0.329,1
"1262",0.281,0.339,0.384,0.31,0.598,0.553,0.416,1
"1263",0.276,0.137,0.137,0.087,0.756,0.478,0.258,1
"1264",0.247,0.24,0.376,0.174,0.79,0.538,0.332,1
"1265",0.238,0.707,0.618,0.679,0.399,0.672,0.612,1
"1266",0.258,0.338,0.337,0.34,0.439,0.598,0.512,1
"1267",0.235,0.196,0.273,0.214,0.584,0.433,0.278,1
"1268",0.234,0.242,0.388,0.211,0.773,0.488,0.287,1
"1269",0.225,0.597,0.519,0.545,0.426,0.57,0.471,1
"1270",0.227,0.241,0.507,0.187,0.862,0.512,0.304,1
"1271",0.201,0.38,0.438,0.374,0.591,0.588,0.44,1
"1272",0.265,0.168,0.163,0.096,0.622,0.289,0.136,1
"1273",0.284,0.258,0.2,0.194,0.515,0.331,0.201,1
"1274",0.21,0.676,0.682,0.689,0.458,0.59,0.567,1
"1275",0.288,0.19,0.218,0.135,0.667,0.382,0.21,1
"1276",0.204,0.179,0.287,0.191,0.596,0.482,0.323,1
"1277",0.261,0.303,0.32,0.295,0.593,0.567,0.412,1
"1278",0.284,0.243,0.351,0.201,0.752,0.561,0.373,1
"1279",0.209,0.36,0.405,0.377,0.578,0.607,0.483,1
"1280",0.228,0.366,0.51,0.421,0.654,0.59,0.428,1
"1281",0.298,0.228,0.287,0.233,0.574,0.454,0.308,1
"1282",0.263,0.398,0.404,0.382,0.52,0.543,0.431,1
"1283",0.232,0.273,0.379,0.227,0.729,0.552,0.366,1
"1284",0.261,0.151,0.27,0.143,0.703,0.454,0.261,1
"1285",0.204,0.303,0.316,0.274,0.534,0.536,0.395,1
"1286",0.218,0.169,0.188,0.119,0.749,0.516,0.297,1
"1287",0.252,0.195,0.327,0.19,0.699,0.478,0.286,1
