"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.003,0.028,0.065,0.059,0.341,0.287,0.17,1
"2",0.089,0.028,0.061,0.037,0.572,0.268,0.126,1
"3",0,0.188,0.195,0.201,0.471,0.447,0.326,1
"4",0,0.036,0.078,0.065,0.425,0.363,0.225,1
"5",0.005,0.298,0.325,0.31,0.619,0.491,0.375,1
"6",0.002,0.109,0.152,0.149,0.519,0.36,0.223,1
"7",0.001,0.05,0.096,0.073,0.567,0.379,0.208,1
"8",0,0.015,0.03,0.026,0.141,0.093,0.054,1
"9",0.012,0.041,0.081,0.083,0.387,0.403,0.28,1
"10",0,0.081,0.081,0.076,0.218,0.144,0.102,1
"11",0.014,0.227,0.285,0.259,0.624,0.501,0.392,1
"12",0.007,0.048,0.091,0.063,0.534,0.323,0.176,1
"13",0.047,0.201,0.255,0.233,0.634,0.492,0.384,1
"14",0.004,0.056,0.099,0.08,0.468,0.391,0.236,1
"15",0.015,0.021,0.061,0.043,0.434,0.255,0.124,1
"16",0,0.015,0.039,0.029,0.349,0.23,0.111,1
"17",0,0.085,0.137,0.14,0.539,0.38,0.212,1
"18",0.056,0.017,0.054,0.031,0.436,0.215,0.1,1
"19",0,0.391,0.413,0.413,0.667,0.603,0.568,1
"20",0.007,0.439,0.466,0.467,0.689,0.64,0.613,1
"21",0.002,0.114,0.145,0.127,0.499,0.386,0.255,1
"22",0.019,0.036,0.073,0.055,0.47,0.264,0.131,1
"23",0.002,0.238,0.272,0.258,0.607,0.464,0.344,1
"24",0,0.065,0.094,0.102,0.322,0.383,0.263,1
"25",0.037,0.117,0.166,0.147,0.602,0.397,0.252,1
"26",0.079,0.02,0.055,0.038,0.403,0.234,0.115,1
"27",0.009,0.305,0.339,0.32,0.658,0.55,0.483,1
"28",0.002,0.105,0.128,0.131,0.387,0.422,0.285,1
"29",0.038,0.026,0.054,0.051,0.312,0.217,0.122,1
"30",0.079,0.022,0.059,0.043,0.459,0.258,0.124,1
"31",0,0.029,0.081,0.047,0.534,0.288,0.142,1
"32",0,0.422,0.442,0.441,0.699,0.628,0.593,1
"33",0.012,0.027,0.068,0.051,0.459,0.304,0.153,1
"34",0.005,0.488,0.521,0.516,0.703,0.699,0.662,1
"35",0,0.142,0.17,0.152,0.577,0.412,0.286,1
"36",0.069,0.031,0.07,0.063,0.357,0.318,0.194,1
"37",0.01,0.112,0.152,0.126,0.541,0.355,0.215,1
