"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0.048,0.026,0.058,0.04,0.388,0.258,0.139,1
"2",0.018,0.019,0.035,0.027,0.172,0.108,0.064,1
"3",0.077,0.024,0.053,0.042,0.347,0.247,0.137,1
"4",0,0.028,0.074,0.043,0.48,0.268,0.135,1
"5",0.071,0.014,0.023,0.019,0.099,0.072,0.043,1
"6",0.083,0.027,0.072,0.048,0.436,0.299,0.162,1
"7",0.023,0.027,0.062,0.048,0.406,0.277,0.15,1
"8",0.031,0.026,0.058,0.049,0.358,0.266,0.153,1
"9",0.079,0.019,0.051,0.035,0.364,0.218,0.11,1
"10",0.068,0.036,0.082,0.081,0.371,0.237,0.124,1
"11",0.008,0.028,0.064,0.051,0.375,0.296,0.171,1
"12",0.099,0.027,0.058,0.052,0.345,0.284,0.167,1
"13",0.037,0.03,0.065,0.05,0.401,0.276,0.149,1
"14",0.06,0.031,0.071,0.063,0.388,0.322,0.195,1
"15",0.092,0.033,0.064,0.057,0.369,0.288,0.168,1
"16",0.029,0.027,0.052,0.054,0.265,0.245,0.154,1
"17",0.067,0.022,0.054,0.03,0.501,0.257,0.122,1
"18",0.094,0.03,0.065,0.048,0.405,0.279,0.159,1
"19",0.001,0.027,0.065,0.043,0.434,0.267,0.14,1
"20",0.015,0.028,0.065,0.051,0.364,0.277,0.153,1
"21",0.037,0.026,0.059,0.05,0.339,0.26,0.147,1
"22",0.077,0.027,0.045,0.043,0.195,0.139,0.063,1
"23",0.049,0.013,0.021,0.02,0.089,0.071,0.044,1
"24",0.064,0.032,0.064,0.063,0.307,0.311,0.204,1
"25",0.01,0.028,0.061,0.057,0.337,0.28,0.168,1
"26",0.011,0.026,0.068,0.047,0.406,0.278,0.145,1
"27",0.094,0.025,0.05,0.043,0.307,0.267,0.157,1
"28",0.047,0.029,0.075,0.054,0.445,0.267,0.138,1
"29",0.037,0.022,0.046,0.039,0.299,0.246,0.138,1
"30",0.007,0.027,0.058,0.052,0.32,0.276,0.165,1
"31",0.047,0.028,0.058,0.054,0.302,0.265,0.156,1
"32",0.002,0.029,0.071,0.044,0.532,0.297,0.149,1
"33",0.082,0.016,0.029,0.023,0.164,0.104,0.055,1
"34",0.1,0.028,0.065,0.047,0.417,0.281,0.148,1
"35",0.064,0.031,0.071,0.06,0.391,0.276,0.157,1
"36",0.069,0.029,0.064,0.058,0.323,0.294,0.184,1
"37",0.03,0.03,0.063,0.054,0.364,0.287,0.173,1
"38",0,0.017,0.031,0.027,0.142,0.12,0.071,1
"39",0.003,0.027,0.06,0.055,0.309,0.267,0.161,1
"40",0.015,0.015,0.029,0.021,0.114,0.081,0.048,1
"41",0.059,0.031,0.066,0.059,0.357,0.272,0.164,1
"42",0,0.028,0.066,0.054,0.388,0.288,0.157,1
"43",0.059,0.023,0.048,0.043,0.293,0.244,0.148,1
"44",0.034,0.023,0.051,0.037,0.37,0.234,0.12,1
"45",0,0.028,0.07,0.041,0.532,0.278,0.14,1
"46",0,0.015,0.028,0.024,0.131,0.09,0.053,1
"47",0.042,0.064,0.091,0.078,0.405,0.288,0.164,1
"48",0.009,0.02,0.046,0.035,0.34,0.26,0.141,1
"49",0.036,0.044,0.077,0.067,0.36,0.242,0.136,1
"50",0.066,0.026,0.052,0.049,0.269,0.258,0.165,1
"51",0.051,0.028,0.062,0.051,0.367,0.286,0.163,1
"52",0.065,0.027,0.057,0.05,0.309,0.262,0.156,1
"53",0.089,0.027,0.056,0.035,0.514,0.249,0.121,1
"54",0.037,0.027,0.06,0.048,0.368,0.276,0.155,1
"55",0.027,0.026,0.06,0.042,0.427,0.289,0.162,1
"56",0.025,0.028,0.057,0.05,0.322,0.262,0.154,1
"57",0.05,0.019,0.039,0.034,0.228,0.183,0.105,1
"58",0.036,0.018,0.041,0.031,0.238,0.152,0.076,1
"59",0.04,0.013,0.027,0.019,0.164,0.088,0.049,1
"60",0.015,0.032,0.072,0.056,0.388,0.255,0.134,1
"61",0.006,0.025,0.054,0.05,0.282,0.257,0.151,1
"62",0.067,0.027,0.068,0.053,0.414,0.293,0.162,1
"63",0.092,0.362,0.379,0.382,0.551,0.519,0.471,1
"64",0.095,0.024,0.057,0.042,0.375,0.271,0.152,1
"65",0.065,0.027,0.066,0.049,0.385,0.283,0.149,1
"66",0.014,0.026,0.056,0.048,0.335,0.258,0.147,1
"67",0.029,0.027,0.056,0.054,0.323,0.278,0.168,1
"68",0.01,0.02,0.05,0.035,0.346,0.251,0.133,1
"69",0,0.171,0.194,0.192,0.502,0.382,0.27,1
"70",0.018,0.028,0.064,0.051,0.354,0.268,0.155,1
"71",0.053,0.024,0.06,0.047,0.368,0.245,0.13,1
"72",0.003,0.025,0.063,0.036,0.467,0.259,0.13,1
"73",0.024,0.02,0.037,0.03,0.218,0.153,0.085,1
"74",0.055,0.028,0.059,0.05,0.356,0.268,0.154,1
"75",0,0.028,0.071,0.043,0.505,0.285,0.145,1
"76",0.021,0.033,0.06,0.057,0.315,0.275,0.171,1
"77",0.028,0.059,0.102,0.089,0.446,0.256,0.14,1
"78",0.023,0.028,0.057,0.056,0.318,0.272,0.158,1
"79",0,0.029,0.073,0.045,0.507,0.293,0.151,1
"80",0.007,0.028,0.064,0.052,0.388,0.283,0.159,1
"81",0.048,0.026,0.061,0.044,0.393,0.263,0.143,1
"82",0.058,0.022,0.061,0.032,0.497,0.266,0.128,1
"83",0.052,0.025,0.066,0.041,0.447,0.27,0.14,1
"84",0.017,0.035,0.068,0.061,0.35,0.3,0.182,1
"85",0.019,0.034,0.067,0.051,0.424,0.245,0.125,1
"86",0.007,0.017,0.034,0.027,0.196,0.116,0.06,1
"87",0.049,0.035,0.065,0.062,0.316,0.292,0.189,1
"88",0,0.015,0.036,0.027,0.316,0.214,0.106,1
"89",0.032,0.016,0.027,0.023,0.105,0.08,0.049,1
"90",0.002,0.014,0.023,0.02,0.094,0.073,0.044,1
"91",0.023,0.024,0.051,0.043,0.305,0.24,0.128,1
"92",0.07,0.025,0.062,0.042,0.475,0.304,0.16,1
"93",0.079,0.021,0.055,0.04,0.414,0.24,0.119,1
"94",0.054,0.011,0.02,0.017,0.056,0.057,0.036,1
"95",0.056,0.02,0.057,0.041,0.315,0.207,0.11,1
"96",0.028,0.028,0.062,0.05,0.38,0.293,0.172,1
"97",0.027,0.025,0.069,0.045,0.463,0.267,0.134,1
"98",0.087,0.023,0.039,0.041,0.125,0.094,0.047,1
"99",0.045,0.029,0.066,0.058,0.367,0.283,0.16,1
"100",0.096,0.028,0.056,0.052,0.327,0.27,0.163,1
"101",0.086,0.03,0.072,0.069,0.344,0.222,0.12,1
"102",0.1,0.027,0.06,0.051,0.377,0.27,0.152,1
"103",0.087,0.023,0.051,0.04,0.367,0.269,0.151,1
"104",0.013,0.024,0.051,0.046,0.301,0.264,0.158,1
"105",0,0.015,0.038,0.023,0.349,0.199,0.092,1
"106",0.029,0.013,0.025,0.021,0.087,0.068,0.036,1
"107",0.005,0.029,0.066,0.055,0.378,0.282,0.165,1
"108",0,0.034,0.072,0.06,0.383,0.335,0.213,1
"109",0.038,0.013,0.023,0.025,0.052,0.072,0.045,1
"110",0.087,0.028,0.063,0.05,0.357,0.269,0.15,1
"111",0.071,0.012,0.022,0.016,0.099,0.06,0.032,1
"112",0.086,0.022,0.048,0.037,0.342,0.235,0.13,1
"113",0.038,0.023,0.055,0.039,0.392,0.263,0.145,1
"114",0.005,0.026,0.058,0.049,0.336,0.241,0.139,1
"115",0.047,0.013,0.023,0.02,0.13,0.075,0.04,1
"116",0.079,0.021,0.05,0.028,0.449,0.231,0.115,1
"117",0.078,0.029,0.064,0.053,0.372,0.28,0.161,1
"118",0.012,0.015,0.029,0.024,0.116,0.111,0.059,1
"119",0.019,0.009,0.017,0.016,0.054,0.052,0.034,1
"120",0.052,0.026,0.061,0.046,0.391,0.269,0.142,1
"121",0.076,0.011,0.02,0.015,0.108,0.062,0.038,1
"122",0.085,0.024,0.048,0.036,0.364,0.177,0.093,1
"123",0.013,0.027,0.067,0.043,0.47,0.277,0.142,1
"124",0.011,0.031,0.074,0.064,0.389,0.304,0.172,1
"125",0.055,0.013,0.025,0.019,0.094,0.074,0.037,1
"126",0.012,0.026,0.063,0.047,0.414,0.282,0.146,1
"127",0.026,0.018,0.038,0.035,0.185,0.162,0.099,1
"128",0.012,0.039,0.075,0.076,0.35,0.372,0.264,1
"129",0,0.029,0.065,0.053,0.383,0.282,0.161,1
"130",0.008,0.028,0.066,0.047,0.387,0.26,0.144,1
"131",0.086,0.016,0.028,0.024,0.121,0.091,0.052,1
"132",0.01,0.029,0.066,0.054,0.383,0.292,0.163,1
"133",0.079,0.025,0.052,0.046,0.341,0.252,0.144,1
"134",0.022,0.027,0.066,0.058,0.365,0.27,0.157,1
"135",0.072,0.029,0.065,0.057,0.301,0.221,0.122,1
"136",0.011,0.028,0.063,0.054,0.326,0.277,0.165,1
"137",0.002,0.027,0.064,0.05,0.375,0.263,0.146,1
"138",0.001,0.029,0.07,0.044,0.485,0.292,0.152,1
"139",0.034,0.026,0.054,0.041,0.369,0.232,0.123,1
