"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"2229",0.212,0.102,0.085,0.069,0.256,0.151,0.072,1
"2230",0.2,0.102,0.093,0.07,0.311,0.145,0.069,1
"2231",0.243,0.094,0.087,0.05,0.421,0.157,0.056,1
"2232",0.298,0.103,0.092,0.083,0.091,0.025,0.008,1
"2233",0.232,0.095,0.096,0.054,0.408,0.16,0.057,1
"2234",0.249,0.092,0.073,0.049,0.308,0.106,0.036,1
"2235",0.219,0.093,0.071,0.047,0.226,0.077,0.029,1
"2236",0.258,0.099,0.086,0.063,0.326,0.159,0.069,1
"2237",0.295,0.096,0.077,0.055,0.297,0.101,0.036,1
"2238",0.243,0.092,0.073,0.046,0.36,0.094,0.029,1
"2239",0.239,0.099,0.088,0.063,0.342,0.158,0.069,1
"2240",0.3,0.103,0.085,0.069,0.24,0.101,0.053,1
"2241",0.224,0.109,0.091,0.08,0.201,0.135,0.073,1
"2242",0.2,0.092,0.079,0.049,0.355,0.147,0.054,1
"2243",0.297,0.091,0.075,0.047,0.338,0.105,0.035,1
"2244",0.274,0.092,0.071,0.046,0.322,0.091,0.029,1
"2245",0.242,0.09,0.071,0.044,0.397,0.139,0.047,1
"2246",0.207,0.095,0.086,0.05,0.451,0.146,0.054,1
"2247",0.273,0.095,0.079,0.053,0.29,0.131,0.052,1
"2248",0.225,0.099,0.089,0.062,0.353,0.167,0.076,1
"2249",0.237,0.102,0.091,0.075,0.273,0.159,0.082,1
"2250",0.288,0.097,0.084,0.05,0.378,0.112,0.039,1
"2251",0.229,0.093,0.079,0.057,0.312,0.136,0.053,1
"2252",0.265,0.094,0.072,0.046,0.3,0.084,0.029,1
"2253",0.291,0.097,0.087,0.06,0.336,0.151,0.063,1
"2254",0.228,0.095,0.084,0.052,0.417,0.152,0.057,1
"2255",0.23,0.106,0.096,0.075,0.331,0.192,0.112,1
"2256",0.251,0.095,0.09,0.052,0.429,0.155,0.056,1
"2257",0.229,0.097,0.083,0.06,0.313,0.163,0.074,1
"2258",0.203,0.093,0.083,0.048,0.417,0.127,0.043,1
"2259",0.237,0.091,0.073,0.045,0.392,0.143,0.049,1
"2260",0.271,0.095,0.089,0.052,0.437,0.15,0.053,1
"2261",0.221,0.105,0.085,0.066,0.205,0.137,0.072,1
"2262",0.205,0.1,0.086,0.065,0.262,0.123,0.06,1
"2263",0.249,0.11,0.1,0.089,0.256,0.178,0.099,1
"2264",0.247,0.105,0.086,0.077,0.189,0.173,0.096,4
"2265",0.227,0.096,0.09,0.057,0.397,0.152,0.058,1
"2266",0.219,0.096,0.088,0.057,0.423,0.161,0.062,1
"2267",0.263,0.092,0.072,0.047,0.264,0.08,0.028,1
"2268",0.286,0.097,0.084,0.059,0.347,0.16,0.069,1
"2269",0.225,0.096,0.088,0.056,0.399,0.15,0.055,1
"2270",0.212,0.093,0.072,0.045,0.345,0.093,0.031,1
"2271",0.229,0.096,0.084,0.06,0.324,0.158,0.065,1
"2272",0.235,0.098,0.083,0.064,0.308,0.164,0.076,1
"2273",0.273,0.095,0.078,0.054,0.265,0.143,0.063,1
"2274",0.231,0.096,0.081,0.058,0.304,0.151,0.062,1
"2275",0.213,0.091,0.073,0.045,0.392,0.142,0.048,1
"2276",0.247,0.096,0.081,0.06,0.319,0.165,0.07,1
"2277",0.276,0.095,0.092,0.052,0.405,0.154,0.055,1
"2278",0.29,0.107,0.098,0.084,0.207,0.061,0.021,1
"2279",0.203,0.096,0.079,0.055,0.366,0.15,0.06,1
"2280",0.272,0.092,0.079,0.048,0.361,0.134,0.05,1
"2281",0.244,0.094,0.086,0.049,0.4,0.136,0.049,1
"2282",0.226,0.096,0.083,0.055,0.356,0.161,0.066,1
"2283",0.277,0.103,0.09,0.075,0.117,0.036,0.011,1
"2284",0.208,0.097,0.086,0.061,0.329,0.142,0.061,1
"2285",0.231,0.101,0.087,0.064,0.278,0.111,0.05,1
"2286",0.217,0.094,0.079,0.048,0.381,0.122,0.039,1
"2287",0.207,0.11,0.102,0.091,0.168,0.049,0.018,1
"2288",0.247,0.096,0.077,0.056,0.275,0.109,0.044,1
"2289",0.256,0.092,0.08,0.048,0.394,0.115,0.037,1
"2290",0.246,0.105,0.089,0.07,0.256,0.115,0.054,1
"2291",0.268,0.094,0.082,0.052,0.36,0.13,0.047,1
"2292",0.282,0.097,0.079,0.059,0.217,0.074,0.025,1
"2293",0.298,0.107,0.093,0.075,0.186,0.086,0.037,1
"2294",0.223,0.101,0.091,0.073,0.321,0.158,0.081,1
"2295",0.208,0.093,0.084,0.054,0.364,0.137,0.051,1
"2296",0.27,0.095,0.081,0.056,0.308,0.145,0.06,1
"2297",0.294,0.096,0.078,0.056,0.304,0.104,0.039,1
"2298",0.227,0.095,0.079,0.055,0.322,0.124,0.046,1
"2299",0.212,0.097,0.084,0.059,0.323,0.151,0.062,1
"2300",0.244,0.097,0.091,0.059,0.395,0.17,0.071,1
"2301",0.219,0.095,0.078,0.051,0.383,0.142,0.054,1
"2302",0.281,0.102,0.083,0.067,0.269,0.097,0.043,1
"2303",0.244,0.109,0.095,0.08,0.184,0.074,0.031,1
"2304",0.276,0.095,0.085,0.052,0.411,0.155,0.06,1
"2305",0.205,0.111,0.104,0.083,0.292,0.108,0.038,1
"2306",0.281,0.097,0.086,0.059,0.364,0.176,0.075,1
"2307",0.264,0.092,0.074,0.048,0.389,0.143,0.051,1
"2308",0.286,0.096,0.08,0.054,0.373,0.145,0.061,1
"2309",0.259,0.102,0.081,0.063,0.229,0.089,0.042,1
"2310",0.219,0.092,0.075,0.046,0.341,0.111,0.041,1
"2311",0.247,0.092,0.075,0.047,0.341,0.108,0.036,1
"2312",0.225,0.094,0.079,0.055,0.299,0.138,0.056,1
"2313",0.203,0.094,0.082,0.056,0.321,0.137,0.056,1
"2314",0.256,0.098,0.086,0.059,0.343,0.159,0.068,1
"2315",0.211,0.096,0.087,0.056,0.37,0.145,0.053,1
"2316",0.223,0.095,0.083,0.055,0.34,0.136,0.057,1
"2317",0.257,0.095,0.073,0.049,0.291,0.09,0.033,1
"2318",0.237,0.094,0.084,0.05,0.418,0.137,0.048,1
"2319",0.27,0.093,0.077,0.047,0.355,0.122,0.041,1
"2320",0.263,0.09,0.071,0.045,0.372,0.136,0.046,1
"2321",0.249,0.103,0.093,0.079,0.268,0.151,0.079,1
"2322",0.219,0.095,0.078,0.057,0.269,0.143,0.064,1
"2323",0.255,0.101,0.09,0.07,0.274,0.098,0.039,1
"2324",0.237,0.091,0.076,0.049,0.326,0.111,0.039,1
"2325",0.208,0.112,0.101,0.087,0.183,0.095,0.038,1
"2326",0.247,0.11,0.094,0.085,0.248,0.162,0.081,1
"2327",0.264,0.09,0.069,0.043,0.312,0.083,0.025,1
"2328",0.235,0.104,0.092,0.075,0.317,0.182,0.089,1
"2329",0.25,0.095,0.083,0.059,0.34,0.141,0.06,1
"2330",0.253,0.094,0.087,0.05,0.413,0.145,0.051,1
"2331",0.392,0.091,0.077,0.047,0.373,0.122,0.042,1
"2332",0.314,0.108,0.098,0.093,0.099,0.023,0.008,1
"2333",0.349,0.097,0.08,0.067,0.267,0.169,0.076,1
"2334",0.375,0.095,0.081,0.051,0.335,0.113,0.04,1
"2335",0.304,0.112,0.099,0.091,0.255,0.167,0.087,1
"2336",0.345,0.107,0.096,0.084,0.164,0.046,0.017,1
"2337",0.313,0.095,0.081,0.059,0.308,0.152,0.066,1
"2338",0.39,0.094,0.084,0.05,0.402,0.125,0.044,1
"2339",0.384,0.095,0.079,0.054,0.293,0.101,0.037,1
"2340",0.354,0.095,0.082,0.054,0.374,0.16,0.067,1
"2341",0.4,0.091,0.075,0.049,0.318,0.095,0.031,1
"2342",0.395,0.087,0.068,0.04,0.328,0.096,0.033,1
"2343",0.365,0.097,0.081,0.059,0.292,0.14,0.06,1
"2344",0.328,0.093,0.079,0.051,0.346,0.125,0.046,1
"2345",0.303,0.092,0.079,0.049,0.374,0.125,0.044,1
"2346",0.391,0.095,0.073,0.046,0.328,0.092,0.029,1
"2347",0.347,0.095,0.08,0.055,0.26,0.146,0.065,1
"2348",0.38,0.094,0.078,0.055,0.286,0.133,0.054,1
"2349",0.377,0.095,0.076,0.057,0.237,0.072,0.026,1
"2350",0.369,0.094,0.081,0.054,0.334,0.131,0.05,1
"2351",0.367,0.098,0.083,0.061,0.311,0.154,0.068,1
"2352",0.307,0.104,0.094,0.075,0.174,0.048,0.017,1
"2353",0.38,0.095,0.082,0.052,0.376,0.155,0.06,1
"2354",0.358,0.098,0.084,0.062,0.311,0.166,0.075,1
"2355",0.307,0.089,0.07,0.042,0.358,0.087,0.025,1
"2356",0.357,0.09,0.071,0.045,0.313,0.1,0.032,1
"2357",0.328,0.09,0.071,0.045,0.3,0.094,0.031,1
"2358",0.328,0.097,0.085,0.061,0.358,0.159,0.068,1
"2359",0.311,0.093,0.078,0.052,0.333,0.125,0.047,1
"2360",0.325,0.096,0.081,0.056,0.317,0.136,0.054,1
"2361",0.382,0.1,0.086,0.071,0.162,0.047,0.016,1
"2362",0.394,0.093,0.078,0.05,0.335,0.109,0.038,1
"2363",0.4,0.094,0.072,0.045,0.303,0.09,0.03,1
"2364",0.366,0.094,0.081,0.051,0.389,0.134,0.047,1
"2365",0.358,0.097,0.082,0.058,0.327,0.156,0.068,1
"2366",0.333,0.094,0.07,0.045,0.285,0.069,0.023,1
"2367",0.319,0.096,0.079,0.061,0.254,0.145,0.066,1
