"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"5286",0.833,0.09,0.066,0.043,0.264,0.092,0.032,1
"5287",0.824,0.089,0.067,0.042,0.29,0.079,0.026,1
"5288",0.847,0.089,0.065,0.043,0.253,0.073,0.023,1
"5289",0.811,0.09,0.067,0.042,0.292,0.072,0.021,1
"5290",0.863,0.09,0.068,0.044,0.275,0.086,0.028,1
"5291",0.85,0.09,0.07,0.041,0.325,0.095,0.028,1
"5292",0.825,0.09,0.068,0.043,0.288,0.08,0.024,1
"5293",0.85,0.091,0.07,0.044,0.316,0.085,0.026,1
"5294",0.887,0.092,0.07,0.047,0.255,0.081,0.026,1
"5295",0.834,0.09,0.068,0.043,0.292,0.08,0.025,1
"5296",0.876,0.094,0.078,0.052,0.309,0.088,0.032,1
"5297",0.88,0.09,0.071,0.042,0.332,0.104,0.033,1
"5298",0.886,0.087,0.067,0.039,0.3,0.085,0.028,1
"5299",0.838,0.092,0.074,0.049,0.287,0.083,0.028,1
"5300",0.852,0.09,0.066,0.043,0.247,0.073,0.024,1
"5301",0.858,0.091,0.07,0.046,0.286,0.09,0.03,1
"5302",0.887,0.091,0.069,0.044,0.27,0.087,0.028,1
"5303",0.873,0.091,0.074,0.045,0.332,0.092,0.028,1
"5304",0.818,0.09,0.07,0.043,0.309,0.098,0.031,1
"5305",0.846,0.094,0.075,0.046,0.319,0.078,0.023,1
"5306",0.813,0.089,0.066,0.042,0.274,0.071,0.022,1
"5307",0.846,0.09,0.065,0.043,0.25,0.073,0.023,1
"5308",0.804,0.09,0.071,0.044,0.331,0.104,0.033,1
"5309",0.875,0.09,0.07,0.044,0.311,0.097,0.032,1
"5310",0.802,0.093,0.077,0.051,0.319,0.127,0.047,1
"5311",0.894,0.09,0.066,0.044,0.282,0.082,0.026,1
"5312",0.816,0.092,0.072,0.046,0.318,0.099,0.033,1
"5313",0.89,0.09,0.069,0.042,0.311,0.082,0.025,1
"5314",0.889,0.091,0.071,0.047,0.288,0.091,0.029,1
"5315",0.859,0.091,0.071,0.043,0.323,0.092,0.028,1
"5316",0.823,0.093,0.078,0.053,0.315,0.134,0.05,1
"5317",0.806,0.09,0.068,0.046,0.261,0.093,0.031,1
"5318",0.879,0.093,0.07,0.045,0.264,0.085,0.027,1
"5319",0.814,0.092,0.074,0.045,0.315,0.091,0.03,1
"5320",0.817,0.094,0.074,0.049,0.279,0.097,0.033,1
"5321",0.815,0.088,0.066,0.039,0.31,0.079,0.023,1
"5322",0.812,0.09,0.067,0.043,0.266,0.076,0.024,1
"5323",0.894,0.09,0.067,0.044,0.268,0.087,0.028,1
"5324",0.836,0.091,0.07,0.045,0.292,0.093,0.03,1
"5325",0.896,0.093,0.075,0.049,0.287,0.083,0.029,1
"5326",0.868,0.092,0.074,0.047,0.332,0.088,0.027,1
"5327",0.889,0.09,0.07,0.044,0.261,0.088,0.029,1
"5328",0.881,0.089,0.064,0.042,0.257,0.071,0.022,1
