"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"3962",0.994,0.092,0.071,0.045,0.299,0.088,0.028,1
"3963",0.976,0.096,0.077,0.05,0.315,0.087,0.027,1
"3964",0.997,0.093,0.071,0.047,0.308,0.077,0.024,1
"3965",0.99,0.097,0.079,0.051,0.323,0.092,0.029,1
"3966",0.988,0.09,0.066,0.044,0.276,0.082,0.026,1
"3967",0.947,0.09,0.066,0.042,0.258,0.073,0.022,1
"3968",0.992,0.091,0.068,0.044,0.294,0.08,0.025,1
"3969",0.992,0.091,0.068,0.044,0.288,0.077,0.023,1
"3970",0.981,0.094,0.073,0.048,0.286,0.086,0.026,1
"3971",0.994,0.091,0.069,0.045,0.284,0.081,0.025,1
"3972",0.991,0.091,0.069,0.045,0.3,0.078,0.024,1
"3973",0.959,0.091,0.068,0.045,0.297,0.091,0.028,1
"3974",0.997,0.092,0.069,0.046,0.305,0.082,0.025,1
"3975",0.981,0.091,0.068,0.045,0.289,0.076,0.024,1
"3976",0.956,0.091,0.07,0.045,0.275,0.089,0.029,1
"3977",0.986,0.092,0.069,0.045,0.295,0.073,0.022,1
"3978",0.967,0.089,0.063,0.041,0.249,0.069,0.022,1
"3979",0.994,0.093,0.071,0.046,0.306,0.088,0.027,1
"3980",0.996,0.091,0.067,0.044,0.297,0.077,0.023,1
"3981",0.996,0.096,0.074,0.049,0.3,0.082,0.025,1
"3982",0.944,0.091,0.07,0.045,0.27,0.086,0.029,1
"3983",0.937,0.09,0.066,0.043,0.255,0.075,0.024,1
"3984",0.969,0.091,0.067,0.044,0.284,0.079,0.024,1
"3985",0.991,0.092,0.068,0.045,0.293,0.075,0.022,1
"3986",0.974,0.092,0.069,0.045,0.272,0.083,0.026,1
"3987",0.994,0.091,0.067,0.043,0.281,0.076,0.024,1
"3988",0.914,0.092,0.07,0.045,0.313,0.082,0.025,1
"3989",0.932,0.091,0.067,0.044,0.282,0.079,0.024,1
"3990",0.986,0.092,0.069,0.045,0.297,0.079,0.024,1
"3991",0.909,0.09,0.067,0.043,0.274,0.085,0.027,1
"3992",0.929,0.089,0.068,0.042,0.298,0.092,0.029,1
"3993",0.981,0.094,0.072,0.047,0.288,0.082,0.025,1
"3994",0.979,0.091,0.069,0.045,0.28,0.078,0.024,1
"3995",0.99,0.09,0.067,0.043,0.281,0.077,0.024,1
"3996",0.985,0.092,0.071,0.046,0.278,0.088,0.029,1
"3997",0.983,0.091,0.068,0.044,0.276,0.082,0.026,1
"3998",0.988,0.094,0.071,0.047,0.293,0.082,0.025,1
"3999",0.957,0.09,0.07,0.044,0.315,0.086,0.029,1
"4000",0.973,0.089,0.065,0.043,0.259,0.07,0.022,1
"4001",0.98,0.092,0.069,0.046,0.275,0.084,0.026,1
"4002",0.978,0.091,0.07,0.045,0.28,0.089,0.029,1
"4003",0.94,0.091,0.068,0.044,0.273,0.078,0.024,1
"4004",0.959,0.091,0.071,0.045,0.327,0.091,0.028,1
"4005",0.969,0.092,0.072,0.046,0.306,0.088,0.028,1
"4006",0.985,0.091,0.069,0.045,0.275,0.085,0.027,1
"4007",0.978,0.093,0.071,0.046,0.289,0.084,0.026,1
"4008",0.901,0.093,0.072,0.048,0.275,0.082,0.026,1
"4009",0.913,0.09,0.068,0.043,0.264,0.085,0.028,1
"4010",0.968,0.09,0.067,0.045,0.247,0.078,0.026,1
"4011",0.981,0.091,0.069,0.045,0.289,0.081,0.025,1
"4012",0.986,0.089,0.064,0.042,0.264,0.071,0.022,1
"4013",0.985,0.094,0.073,0.047,0.304,0.086,0.027,1
"4014",0.953,0.092,0.069,0.045,0.264,0.079,0.025,1
"4015",0.949,0.092,0.07,0.045,0.282,0.084,0.026,1
"4016",0.985,0.09,0.066,0.043,0.277,0.075,0.023,1
"4017",0.991,0.093,0.071,0.047,0.309,0.086,0.027,1
"4018",0.987,0.092,0.07,0.045,0.284,0.082,0.025,1
"4019",0.98,0.089,0.066,0.043,0.255,0.073,0.023,1
"4020",0.986,0.09,0.068,0.044,0.295,0.078,0.024,1
"4021",0.985,0.091,0.067,0.043,0.278,0.076,0.023,1
"4022",0.985,0.091,0.068,0.044,0.282,0.08,0.025,1
"4023",0.992,0.092,0.07,0.045,0.297,0.082,0.026,1
"4024",0.939,0.092,0.07,0.046,0.253,0.078,0.024,1
"4025",0.983,0.092,0.07,0.046,0.287,0.085,0.027,1
"4026",0.995,0.09,0.066,0.043,0.269,0.076,0.024,1
"4027",0.99,0.09,0.067,0.043,0.279,0.079,0.024,1
"4028",0.962,0.091,0.07,0.046,0.273,0.085,0.028,1
"4029",0.961,0.091,0.068,0.044,0.274,0.078,0.025,1
"4030",0.99,0.09,0.066,0.043,0.27,0.074,0.023,1
"4031",0.997,0.092,0.072,0.048,0.291,0.106,0.039,1
"4032",0.983,0.091,0.068,0.044,0.282,0.083,0.027,1
"4033",0.982,0.09,0.066,0.043,0.258,0.076,0.024,1
"4034",0.929,0.09,0.068,0.043,0.315,0.078,0.023,1
"4035",0.995,0.091,0.069,0.044,0.285,0.08,0.025,1
"4036",0.981,0.089,0.065,0.043,0.26,0.076,0.024,1
"4037",0.989,0.091,0.07,0.045,0.295,0.085,0.027,1
"4038",0.919,0.091,0.068,0.045,0.256,0.081,0.027,1
"4039",0.995,0.091,0.068,0.044,0.286,0.079,0.024,1
"4040",0.908,0.091,0.067,0.044,0.269,0.084,0.027,1
"4041",0.988,0.093,0.07,0.046,0.272,0.08,0.025,1
"4042",0.976,0.091,0.069,0.044,0.293,0.09,0.029,1
"4043",0.986,0.092,0.07,0.045,0.287,0.081,0.025,1
"4044",0.96,0.091,0.069,0.045,0.272,0.078,0.024,1
"4045",1,0.098,0.083,0.052,0.347,0.098,0.029,1
"4046",0.957,0.092,0.07,0.046,0.295,0.092,0.031,1
"4047",0.994,0.096,0.077,0.05,0.329,0.091,0.028,1
"4048",0.971,0.091,0.07,0.045,0.28,0.088,0.029,1
"4049",0.931,0.091,0.068,0.044,0.285,0.08,0.025,1
"4050",0.964,0.091,0.073,0.045,0.332,0.084,0.026,1
"4051",0.967,0.091,0.068,0.045,0.266,0.082,0.027,1
"4052",0.93,0.089,0.064,0.042,0.259,0.069,0.021,1
"4053",0.985,0.09,0.066,0.043,0.265,0.074,0.023,1
"4054",0.981,0.09,0.065,0.043,0.262,0.073,0.023,1
"4055",0.995,0.092,0.068,0.044,0.293,0.075,0.023,1
"4056",0.981,0.09,0.066,0.043,0.273,0.077,0.024,1
"4057",0.993,0.092,0.071,0.046,0.295,0.086,0.027,1
"4058",0.995,0.091,0.069,0.044,0.285,0.079,0.024,1
"4059",0.961,0.09,0.068,0.043,0.291,0.077,0.024,1
"4060",0.988,0.092,0.07,0.046,0.286,0.084,0.027,1
"4061",0.933,0.092,0.068,0.045,0.246,0.076,0.025,1
"4062",0.99,0.092,0.07,0.045,0.285,0.08,0.025,1
"4063",0.979,0.092,0.069,0.046,0.275,0.084,0.027,1
"4064",0.961,0.092,0.071,0.047,0.27,0.087,0.029,1
"4065",0.989,0.092,0.07,0.046,0.297,0.082,0.026,1
"4066",0.991,0.091,0.066,0.044,0.282,0.077,0.024,1
"4067",0.996,0.092,0.068,0.045,0.284,0.073,0.023,1
"4068",0.98,0.09,0.068,0.044,0.277,0.077,0.024,1
"4069",0.99,0.09,0.068,0.044,0.286,0.079,0.024,1
"4070",0.991,0.092,0.071,0.045,0.296,0.091,0.029,1
"4071",0.989,0.091,0.07,0.045,0.282,0.091,0.029,1
"4072",0.994,0.09,0.067,0.043,0.302,0.096,0.03,1
"4073",0.905,0.092,0.072,0.046,0.307,0.091,0.029,1
"4074",0.963,0.09,0.071,0.044,0.304,0.094,0.031,1
"4075",0.967,0.089,0.067,0.044,0.268,0.08,0.026,1
"4076",0.982,0.09,0.064,0.042,0.272,0.073,0.022,1
"4077",0.993,0.092,0.069,0.045,0.301,0.076,0.023,1
"4078",0.965,0.093,0.071,0.047,0.281,0.087,0.029,1
"4079",0.97,0.09,0.069,0.043,0.292,0.087,0.027,1
"4080",0.978,0.09,0.067,0.043,0.284,0.079,0.024,1
"4081",0.994,0.092,0.071,0.045,0.296,0.087,0.027,1
"4082",0.995,0.092,0.07,0.045,0.318,0.077,0.023,1
"4083",0.991,0.092,0.069,0.045,0.302,0.078,0.024,1
"4084",0.99,0.091,0.069,0.045,0.302,0.08,0.024,1
"4085",0.982,0.092,0.069,0.045,0.296,0.079,0.025,1
"4086",0.992,0.093,0.071,0.047,0.306,0.081,0.025,1
"4087",0.964,0.09,0.067,0.043,0.269,0.079,0.025,1
"4088",0.989,0.091,0.068,0.044,0.296,0.078,0.024,1
"4089",0.995,0.092,0.068,0.045,0.298,0.076,0.023,1
"4090",0.998,0.092,0.069,0.045,0.295,0.085,0.027,1
"4091",0.989,0.091,0.067,0.044,0.276,0.074,0.023,1
"4092",0.989,0.091,0.07,0.046,0.294,0.083,0.025,1
"4093",0.929,0.092,0.071,0.045,0.302,0.084,0.025,1
"4094",0.988,0.094,0.071,0.046,0.287,0.08,0.024,1
"4095",0.942,0.091,0.069,0.045,0.276,0.084,0.027,1
"4096",0.996,0.092,0.071,0.046,0.31,0.076,0.023,1
"4097",0.969,0.091,0.071,0.045,0.304,0.094,0.03,1
"4098",0.991,0.092,0.072,0.045,0.309,0.09,0.028,1
"4099",0.995,0.09,0.067,0.043,0.287,0.075,0.023,1
"4100",0.997,0.091,0.067,0.044,0.285,0.08,0.025,1
"4101",0.994,0.092,0.07,0.046,0.298,0.08,0.024,1
"4102",0.977,0.09,0.065,0.043,0.257,0.075,0.023,1
"4103",0.992,0.097,0.08,0.051,0.326,0.091,0.028,1
"4104",0.981,0.092,0.07,0.046,0.3,0.088,0.028,1
"4105",0.985,0.09,0.067,0.043,0.275,0.083,0.026,1
"4106",0.997,0.091,0.068,0.044,0.297,0.08,0.024,1
"4107",0.993,0.091,0.068,0.044,0.288,0.082,0.026,1
"4108",0.961,0.091,0.067,0.043,0.265,0.076,0.024,1
"4109",0.991,0.091,0.068,0.044,0.279,0.076,0.023,1
"4110",0.973,0.09,0.067,0.043,0.268,0.077,0.024,1
"4111",0.973,0.09,0.067,0.043,0.279,0.083,0.026,1
"4112",0.991,0.091,0.068,0.045,0.302,0.081,0.025,1
"4113",0.927,0.091,0.068,0.044,0.288,0.085,0.027,1
"4114",0.952,0.091,0.07,0.045,0.271,0.085,0.028,1
"4115",0.935,0.092,0.07,0.046,0.278,0.088,0.028,1
"4116",0.994,0.091,0.067,0.043,0.286,0.073,0.022,1
"4117",0.988,0.091,0.068,0.044,0.277,0.079,0.025,1
"4118",0.969,0.091,0.067,0.043,0.272,0.077,0.024,1
"4119",0.979,0.089,0.065,0.042,0.252,0.075,0.024,1
"4120",0.953,0.092,0.071,0.047,0.273,0.092,0.03,1
"4121",0.971,0.09,0.066,0.042,0.264,0.075,0.024,1
"4122",0.994,0.091,0.07,0.046,0.272,0.08,0.025,1
"4123",1,0.094,0.074,0.047,0.309,0.082,0.026,1
"4124",0.977,0.091,0.07,0.045,0.286,0.081,0.026,1
"4125",0.994,0.091,0.068,0.045,0.288,0.073,0.022,1
"4126",0.94,0.09,0.067,0.043,0.268,0.08,0.025,1
"4127",0.979,0.092,0.071,0.046,0.272,0.085,0.027,1
"4128",0.975,0.091,0.069,0.044,0.29,0.081,0.026,1
"4129",0.988,0.092,0.07,0.046,0.3,0.085,0.026,1
"4130",0.99,0.092,0.069,0.046,0.296,0.083,0.026,1
"4131",0.934,0.091,0.069,0.044,0.268,0.076,0.024,1
"4132",0.982,0.092,0.069,0.044,0.29,0.083,0.026,1
"4133",0.996,0.09,0.067,0.044,0.3,0.079,0.025,1
"4134",0.998,0.093,0.071,0.046,0.305,0.079,0.024,1
"4135",0.979,0.089,0.067,0.043,0.275,0.08,0.026,1
"4136",0.992,0.091,0.068,0.045,0.299,0.082,0.025,1
"4137",0.969,0.091,0.07,0.045,0.293,0.087,0.028,1
"4138",0.967,0.09,0.068,0.044,0.264,0.08,0.026,1
"4139",0.992,0.09,0.066,0.044,0.29,0.075,0.023,1
"4140",0.931,0.089,0.067,0.043,0.269,0.082,0.027,1
"4141",0.975,0.092,0.071,0.046,0.282,0.085,0.028,1
"4142",0.965,0.09,0.067,0.044,0.269,0.083,0.027,1
"4143",0.973,0.091,0.07,0.046,0.27,0.084,0.027,1
"4144",0.99,0.091,0.069,0.044,0.282,0.081,0.026,1
"4145",0.996,0.093,0.07,0.046,0.304,0.076,0.023,1
"4146",0.979,0.091,0.069,0.045,0.29,0.093,0.03,1
"4147",0.904,0.091,0.07,0.045,0.276,0.085,0.028,1
"4148",0.973,0.09,0.066,0.044,0.271,0.078,0.025,1
"4149",0.999,0.093,0.071,0.046,0.321,0.079,0.024,1
"4150",0.991,0.089,0.064,0.041,0.259,0.072,0.023,1
"4151",0.983,0.093,0.072,0.048,0.285,0.085,0.028,1
"4152",0.976,0.09,0.067,0.043,0.266,0.083,0.026,1
"4153",0.986,0.091,0.066,0.043,0.281,0.073,0.023,1
"4154",0.984,0.091,0.067,0.044,0.284,0.072,0.022,1
"4155",0.969,0.09,0.067,0.044,0.269,0.08,0.025,1
"4156",0.996,0.093,0.07,0.046,0.301,0.083,0.026,1
"4157",0.971,0.09,0.067,0.043,0.262,0.077,0.024,1
"4158",0.957,0.09,0.068,0.044,0.258,0.082,0.027,1
"4159",0.977,0.092,0.071,0.047,0.284,0.085,0.028,1
"4160",0.988,0.091,0.067,0.043,0.278,0.076,0.023,1
"4161",0.977,0.09,0.067,0.043,0.27,0.071,0.022,1
"4162",0.93,0.091,0.07,0.045,0.272,0.09,0.029,1
"4163",0.989,0.091,0.068,0.045,0.278,0.083,0.026,1
"4164",0.963,0.091,0.069,0.045,0.285,0.086,0.028,1
"4165",0.997,0.094,0.073,0.047,0.306,0.084,0.026,1
"4166",0.986,0.092,0.071,0.046,0.305,0.079,0.024,1
"4167",0.995,0.092,0.07,0.045,0.302,0.084,0.026,1
"4168",0.995,0.09,0.067,0.044,0.288,0.076,0.023,1
"4169",0.988,0.092,0.072,0.046,0.297,0.092,0.03,1
"4170",0.99,0.094,0.071,0.045,0.313,0.083,0.025,1
"4171",0.989,0.089,0.066,0.043,0.27,0.076,0.024,1
"4172",0.97,0.093,0.072,0.048,0.274,0.088,0.029,1
"4173",0.996,0.091,0.068,0.044,0.296,0.083,0.026,1
"4174",0.98,0.091,0.068,0.044,0.282,0.08,0.025,1
"4175",0.995,0.091,0.071,0.045,0.297,0.084,0.027,1
"4176",0.997,0.091,0.069,0.043,0.288,0.081,0.025,1
"4177",0.982,0.093,0.072,0.047,0.272,0.083,0.026,1
"4178",0.993,0.092,0.068,0.045,0.294,0.079,0.024,1
"4179",0.916,0.093,0.069,0.047,0.281,0.086,0.027,1
"4180",0.995,0.091,0.069,0.044,0.316,0.076,0.022,1
"4181",0.993,0.093,0.071,0.047,0.305,0.08,0.024,1
"4182",0.958,0.089,0.065,0.043,0.253,0.073,0.023,1
"4183",0.998,0.09,0.067,0.044,0.282,0.077,0.024,1
"4184",0.989,0.093,0.07,0.046,0.293,0.085,0.027,1
"4185",0.968,0.09,0.068,0.045,0.264,0.082,0.027,1
"4186",0.987,0.09,0.067,0.044,0.282,0.073,0.023,1
"4187",0.988,0.089,0.066,0.043,0.259,0.08,0.026,1
"4188",0.951,0.091,0.068,0.044,0.274,0.083,0.027,1
"4189",0.912,0.09,0.066,0.043,0.255,0.079,0.025,1
"4190",0.982,0.091,0.071,0.046,0.285,0.088,0.029,1
"4191",0.984,0.091,0.067,0.044,0.284,0.079,0.025,1
"4192",0.99,0.089,0.065,0.042,0.25,0.072,0.023,1
"4193",0.983,0.091,0.069,0.045,0.263,0.081,0.027,1
"4194",0.967,0.089,0.063,0.042,0.247,0.067,0.021,1
"4195",0.953,0.089,0.067,0.041,0.306,0.086,0.026,1
"4196",0.991,0.093,0.072,0.047,0.313,0.082,0.025,1
"4197",0.961,0.091,0.068,0.045,0.288,0.082,0.025,1
"4198",0.982,0.09,0.067,0.043,0.271,0.084,0.027,1
