"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"5039",0.87,0.091,0.072,0.045,0.328,0.08,0.024,2
"5040",0.847,0.09,0.071,0.042,0.323,0.08,0.024,2
"5041",0.812,0.094,0.072,0.045,0.292,0.079,0.025,2
"5042",0.813,0.09,0.068,0.042,0.276,0.059,0.018,2
"5043",0.821,0.099,0.078,0.066,0.264,0.135,0.058,2
"5044",0.81,0.092,0.075,0.049,0.318,0.105,0.036,2
"5045",0.815,0.09,0.07,0.044,0.316,0.09,0.028,2
"5046",0.846,0.095,0.075,0.049,0.31,0.103,0.037,2
"5047",0.801,0.09,0.065,0.041,0.266,0.069,0.022,2
"5048",0.864,0.089,0.065,0.042,0.259,0.079,0.026,2
"5049",0.88,0.111,0.094,0.087,0.253,0.204,0.1,6
"5050",0.812,0.091,0.07,0.045,0.275,0.087,0.029,2
"5051",0.898,0.093,0.068,0.043,0.275,0.062,0.019,2
"5052",0.858,0.092,0.069,0.044,0.291,0.079,0.024,2
"5053",0.827,0.093,0.072,0.045,0.307,0.072,0.021,2
"5054",0.873,0.089,0.064,0.043,0.252,0.071,0.023,2
"5055",0.846,0.089,0.069,0.04,0.342,0.086,0.024,2
"5056",0.827,0.091,0.073,0.048,0.299,0.109,0.041,2
"5057",0.889,0.091,0.068,0.044,0.271,0.083,0.026,2
"5058",0.879,0.093,0.07,0.044,0.289,0.074,0.023,2
"5059",0.874,0.089,0.069,0.041,0.336,0.085,0.025,2
"5060",0.859,0.095,0.074,0.05,0.264,0.081,0.027,2
"5061",0.882,0.093,0.07,0.045,0.285,0.078,0.025,2
"5062",0.872,0.089,0.066,0.041,0.294,0.066,0.02,2
"5063",0.836,0.091,0.07,0.044,0.295,0.081,0.026,2
"5064",0.899,0.089,0.064,0.043,0.257,0.073,0.023,2
"5065",0.861,0.09,0.067,0.042,0.286,0.085,0.026,2
"5066",0.881,0.092,0.072,0.046,0.321,0.096,0.031,2
"5067",0.812,0.09,0.067,0.043,0.266,0.076,0.024,2
"5068",0.847,0.093,0.072,0.045,0.313,0.078,0.024,2
"5069",0.805,0.094,0.072,0.049,0.265,0.068,0.023,2
"5070",0.813,0.092,0.074,0.046,0.323,0.105,0.033,2
"5071",0.839,0.091,0.07,0.045,0.307,0.097,0.031,2
"5072",0.846,0.092,0.071,0.043,0.323,0.08,0.024,2
"5073",0.891,0.091,0.071,0.043,0.331,0.093,0.029,2
"5074",0.808,0.093,0.075,0.05,0.254,0.076,0.026,2
"5075",0.895,0.093,0.071,0.044,0.286,0.078,0.027,2
"5076",0.849,0.095,0.076,0.051,0.251,0.072,0.027,2
"5077",0.812,0.091,0.069,0.045,0.277,0.078,0.027,2
"5078",0.816,0.088,0.067,0.04,0.325,0.075,0.021,2
"5079",0.843,0.091,0.07,0.044,0.293,0.086,0.028,2
"5080",0.849,0.089,0.065,0.044,0.243,0.075,0.024,2
"5081",0.861,0.089,0.069,0.041,0.338,0.082,0.024,2
"5082",0.89,0.091,0.068,0.042,0.308,0.073,0.022,2
"5083",0.863,0.093,0.07,0.044,0.271,0.067,0.023,2
"5084",0.897,0.095,0.071,0.046,0.288,0.078,0.024,2
"5085",0.828,0.093,0.069,0.043,0.299,0.064,0.019,2
"5086",0.894,0.096,0.082,0.052,0.3,0.096,0.03,2
"5087",0.824,0.088,0.065,0.038,0.315,0.068,0.02,2
"5088",0.894,0.09,0.067,0.042,0.311,0.071,0.021,2
"5089",0.884,0.092,0.07,0.045,0.287,0.089,0.029,2
"5090",0.886,0.093,0.074,0.048,0.305,0.084,0.027,2
"5091",0.847,0.089,0.065,0.043,0.253,0.073,0.023,2
"5092",0.826,0.094,0.073,0.049,0.256,0.07,0.023,2
"5093",0.805,0.093,0.072,0.047,0.288,0.085,0.028,2
"5094",0.875,0.089,0.069,0.04,0.344,0.081,0.023,2
"5095",0.867,0.1,0.085,0.061,0.267,0.074,0.024,2
"5096",0.811,0.09,0.071,0.045,0.289,0.102,0.033,2
"5097",0.829,0.103,0.085,0.074,0.266,0.181,0.083,6
"5098",0.871,0.09,0.068,0.044,0.272,0.082,0.027,2
"5099",0.811,0.093,0.073,0.045,0.325,0.076,0.022,2
"5100",0.824,0.092,0.069,0.044,0.289,0.08,0.025,2
"5101",0.841,0.1,0.084,0.059,0.269,0.073,0.023,2
"5102",0.864,0.09,0.07,0.044,0.288,0.087,0.027,2
"5103",0.852,0.1,0.083,0.064,0.216,0.069,0.023,2
"5104",0.895,0.096,0.075,0.049,0.288,0.088,0.031,2
"5105",0.891,0.092,0.071,0.046,0.262,0.086,0.029,2
"5106",0.89,0.094,0.071,0.046,0.302,0.083,0.027,2
"5107",0.889,0.094,0.072,0.048,0.274,0.09,0.029,2
"5108",0.833,0.095,0.078,0.046,0.337,0.084,0.025,2
"5109",0.843,0.092,0.075,0.051,0.298,0.115,0.043,2
"5110",0.861,0.092,0.069,0.043,0.281,0.064,0.021,2
"5111",0.817,0.094,0.07,0.045,0.278,0.069,0.024,2
"5112",0.821,0.093,0.075,0.047,0.322,0.105,0.033,2
"5113",0.864,0.097,0.077,0.054,0.252,0.073,0.027,2
"5114",0.864,0.092,0.069,0.042,0.305,0.068,0.021,2
"5115",0.891,0.089,0.068,0.042,0.314,0.08,0.024,2
"5116",0.831,0.089,0.064,0.04,0.282,0.057,0.016,2
"5117",0.871,0.113,0.096,0.097,0.256,0.216,0.102,6
"5118",0.866,0.09,0.073,0.044,0.332,0.109,0.037,2
"5119",0.867,0.091,0.067,0.046,0.256,0.083,0.028,2
"5120",0.846,0.093,0.07,0.043,0.314,0.077,0.023,2
"5121",0.898,0.09,0.067,0.043,0.252,0.084,0.028,2
"5122",0.884,0.089,0.067,0.042,0.317,0.085,0.026,2
"5123",0.818,0.094,0.07,0.044,0.284,0.065,0.021,2
"5124",0.855,0.09,0.071,0.041,0.369,0.077,0.022,2
"5125",0.888,0.093,0.075,0.051,0.301,0.106,0.04,2
"5126",0.871,0.091,0.07,0.045,0.273,0.075,0.023,2
"5127",0.853,0.089,0.067,0.041,0.277,0.057,0.017,2
"5128",0.884,0.09,0.069,0.043,0.282,0.086,0.028,2
"5129",0.837,0.09,0.067,0.043,0.29,0.081,0.025,2
"5130",0.808,0.092,0.071,0.045,0.284,0.092,0.029,2
"5131",0.81,0.087,0.065,0.041,0.295,0.074,0.023,2
"5132",0.822,0.092,0.07,0.046,0.296,0.095,0.031,2
"5133",0.856,0.107,0.09,0.085,0.261,0.193,0.088,6
"5134",0.887,0.091,0.072,0.044,0.312,0.088,0.027,2
"5135",0.888,0.091,0.07,0.045,0.297,0.097,0.032,2
"5136",0.825,0.089,0.066,0.04,0.299,0.079,0.024,2
"5137",0.863,0.091,0.07,0.046,0.268,0.091,0.031,2
"5138",0.854,0.092,0.069,0.043,0.286,0.076,0.024,2
"5139",0.827,0.09,0.069,0.042,0.314,0.1,0.032,2
"5140",0.894,0.09,0.066,0.044,0.282,0.082,0.026,2
"5141",0.881,0.102,0.087,0.06,0.289,0.09,0.032,2
"5142",0.845,0.089,0.066,0.042,0.271,0.081,0.027,2
"5143",0.854,0.091,0.072,0.045,0.301,0.09,0.028,2
