"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1",0,0.111,0.104,0.087,0.052,0.006,0.002,1
"2",0,0.116,0.111,0.092,0.17,0.106,0.045,1
"3",0,0.109,0.102,0.084,0.037,0.005,0.002,1
"4",0.039,0.123,0.118,0.115,0.187,0.086,0.029,1
"5",0,0.121,0.103,0.102,0.153,0.207,0.127,1
"6",0,0.108,0.1,0.082,0.038,0.005,0.002,1
"7",0,0.116,0.104,0.1,0.118,0.147,0.093,1
"8",0,0.111,0.104,0.088,0.051,0.006,0.003,1
"9",0.078,0.117,0.107,0.096,0.164,0.109,0.049,2
"10",0,0.114,0.097,0.095,0.118,0.145,0.091,1
"11",0,0.11,0.102,0.085,0.04,0.006,0.004,1
"12",0,0.109,0.102,0.085,0.037,0.005,0.003,1
"13",0,0.131,0.126,0.137,0.225,0.21,0.131,3
"14",0,0.112,0.106,0.094,0.06,0.006,0.003,1
"15",0.004,0.111,0.092,0.085,0.119,0.138,0.082,1
"16",0,0.128,0.117,0.118,0.205,0.201,0.122,3
"17",0,0.109,0.102,0.085,0.037,0.005,0.003,1
"18",0,0.11,0.101,0.083,0.05,0.006,0.003,1
"19",0,0.12,0.111,0.096,0.16,0.108,0.048,1
"20",0,0.109,0.102,0.085,0.045,0.005,0.003,1
"21",0,0.106,0.097,0.075,0.036,0.005,0.003,1
"22",0,0.109,0.102,0.084,0.037,0.005,0.003,1
"23",0,0.109,0.103,0.085,0.05,0.005,0.003,1
"24",0,0.111,0.103,0.089,0.044,0.005,0.002,1
"25",0,0.111,0.104,0.089,0.053,0.006,0.003,1
"26",0,0.11,0.103,0.086,0.038,0.006,0.004,1
"27",0.001,0.119,0.101,0.099,0.144,0.196,0.121,1
"28",0,0.12,0.105,0.105,0.141,0.183,0.116,1
"29",0,0.113,0.107,0.095,0.066,0.006,0.003,1
"30",0,0.097,0.072,0.066,0.061,0.024,0.014,1
"31",0,0.097,0.073,0.068,0.064,0.029,0.017,1
"32",0,0.108,0.101,0.083,0.037,0.005,0.003,1
"33",0,0.114,0.108,0.097,0.081,0.007,0.003,1
"34",0,0.114,0.097,0.095,0.124,0.177,0.111,1
"35",0,0.127,0.124,0.123,0.175,0.094,0.033,1
"36",0,0.118,0.112,0.096,0.166,0.111,0.048,1
"37",0,0.115,0.097,0.1,0.121,0.123,0.076,1
"38",0,0.106,0.098,0.078,0.037,0.005,0.002,1
"39",0,0.118,0.1,0.097,0.137,0.177,0.11,1
"40",0,0.108,0.101,0.082,0.036,0.006,0.003,1
"41",0,0.107,0.082,0.083,0.079,0.063,0.043,1
"42",0,0.127,0.112,0.116,0.153,0.164,0.109,1
"43",0,0.114,0.097,0.094,0.117,0.16,0.101,1
"44",0,0.12,0.103,0.104,0.127,0.155,0.102,1
"45",0,0.119,0.106,0.11,0.159,0.167,0.103,1
"46",0,0.11,0.102,0.086,0.044,0.005,0.003,1
"47",0,0.12,0.104,0.108,0.146,0.152,0.097,1
"48",0,0.109,0.102,0.085,0.037,0.005,0.003,1
"49",0.087,0.094,0.074,0.049,0.301,0.102,0.04,2
"50",0,0.111,0.104,0.087,0.039,0.006,0.004,1
"51",0,0.107,0.099,0.08,0.035,0.005,0.003,1
"52",0,0.111,0.104,0.088,0.051,0.005,0.003,1
"53",0,0.116,0.111,0.093,0.172,0.106,0.043,1
"54",0.089,0.123,0.116,0.115,0.195,0.08,0.026,2
"55",0.085,0.105,0.085,0.067,0.194,0.136,0.069,2
"56",0,0.121,0.111,0.099,0.157,0.117,0.053,1
"57",0,0.116,0.107,0.095,0.22,0.101,0.037,1
"58",0,0.12,0.105,0.104,0.152,0.167,0.1,1
"59",0,0.111,0.104,0.089,0.053,0.006,0.003,1
"60",0.014,0.138,0.13,0.144,0.207,0.226,0.149,3
"61",0,0.12,0.104,0.097,0.143,0.072,0.032,1
"62",0,0.112,0.105,0.09,0.052,0.006,0.003,1
"63",0,0.11,0.103,0.086,0.046,0.005,0.003,1
"64",0,0.111,0.104,0.087,0.049,0.007,0.003,1
"65",0,0.114,0.11,0.097,0.134,0.047,0.018,1
"66",0,0.117,0.113,0.097,0.171,0.108,0.045,1
"67",0,0.112,0.107,0.092,0.102,0.018,0.008,1
"68",0,0.108,0.101,0.082,0.045,0.005,0.003,1
"69",0,0.127,0.117,0.112,0.148,0.093,0.043,1
"70",0,0.121,0.114,0.108,0.122,0.025,0.012,1
"71",0,0.127,0.122,0.122,0.176,0.096,0.035,1
"72",0,0.109,0.102,0.084,0.043,0.005,0.002,1
"73",0,0.127,0.114,0.11,0.137,0.091,0.045,1
"74",0,0.113,0.107,0.095,0.069,0.006,0.003,1
"75",0,0.111,0.104,0.088,0.047,0.005,0.002,1
"76",0,0.114,0.109,0.095,0.13,0.042,0.015,1
"77",0,0.108,0.099,0.08,0.051,0.006,0.003,1
"78",0,0.113,0.094,0.089,0.117,0.137,0.086,1
"79",0,0.12,0.111,0.101,0.138,0.101,0.047,1
"80",0,0.124,0.117,0.115,0.185,0.091,0.032,1
"81",0,0.118,0.11,0.093,0.162,0.11,0.049,1
"82",0,0.122,0.108,0.107,0.168,0.157,0.097,1
"83",0,0.115,0.096,0.093,0.122,0.142,0.087,1
"84",0,0.11,0.103,0.087,0.04,0.006,0.003,1
"85",0.034,0.112,0.104,0.089,0.088,0.013,0.005,1
"86",0,0.131,0.127,0.135,0.198,0.196,0.124,3
"87",0.008,0.114,0.107,0.092,0.09,0.016,0.007,1
"88",0,0.118,0.11,0.094,0.166,0.11,0.048,1
"89",0,0.109,0.101,0.081,0.051,0.007,0.004,1
"90",0,0.107,0.099,0.08,0.036,0.005,0.003,1
"91",0,0.119,0.113,0.1,0.162,0.108,0.047,1
"92",0.004,0.117,0.096,0.091,0.145,0.188,0.114,1
"93",0,0.11,0.101,0.083,0.05,0.006,0.003,1
"94",0,0.135,0.132,0.145,0.209,0.225,0.152,3
"95",0.027,0.115,0.1,0.086,0.166,0.091,0.038,1
"96",0,0.126,0.121,0.121,0.179,0.085,0.029,1
"97",0,0.118,0.109,0.093,0.161,0.108,0.048,1
"98",0,0.107,0.099,0.079,0.043,0.006,0.003,1
"99",0,0.111,0.102,0.085,0.049,0.006,0.003,1
"100",0.119,0.107,0.089,0.075,0.245,0.178,0.094,2
"101",0.177,0.097,0.077,0.053,0.273,0.09,0.032,2
"102",0.126,0.109,0.101,0.084,0.118,0.025,0.01,2
"103",0.141,0.109,0.092,0.078,0.237,0.168,0.091,2
"104",0.197,0.106,0.088,0.071,0.161,0.08,0.034,2
"105",0.2,0.107,0.089,0.073,0.27,0.134,0.065,2
